int(self),self.seed,disturbance_cycles,self.cycle,avg_traffic,self.total_delivered,mean_cyc_to_deliver
0,8278344680445391900.0,50,5000,0.0,3805,21.09934296977661
1,3842894466343579600.0,50,5000,0.0,3804,21.687434279705574
2,1195397970080737280.0,50,5000,0.0,3861,20.807303807303807
3,8257864097698037800.0,50,5000,0.0,3745,21.542056074766354
4,7063384055278719000.0,50,5000,0.0,3992,20.501002004008015
5,2332999618624172000.0,50,5000,0.0,4238,19.257196790939123
6,2367763147436830700.0,50,5000,0.0,4158,19.166185666185665
7,3964987465131933700.0,50,5000,0.0,4151,18.54516983859311
8,5121099834635855900.0,50,5000,0.0,3975,20.066666666666666
9,24469781100542976.0,50,5000,0.0,3867,20.82441168864753
10,2279608072103842820.0,50,5000,0.0,3673,21.893275251837736
11,3729972857219419100.0,50,5000,0.0,3900,20.44128205128205
12,7893386110819026900.0,50,5000,0.0,3858,20.116122343182997
13,4216513034720937000.0,50,5000,0.0,3710,22.185175202156334
14,7933436094575370200.0,50,5000,0.0,3830,21.11201044386423
15,7477583308288522200.0,50,5000,0.0,4173,18.937215432542537
16,4480606779218341900.0,50,5000,0.0,3927,20.4410491469315
17,3596678083099401200.0,50,5000,0.0,3929,20.118096207686435
18,6420075915773722600.0,50,5000,0.0,3763,21.458145096997075
19,2932640576231769100.0,50,5000,133419.41176470587,3798,21.487888362295944
20,8278344680445391900.0,100,5000,0.0,5033,14.126564673157162
21,3842894466343579600.0,100,5000,0.0,5072,14.17192429022082
22,1195397970080737280.0,100,5000,0.0,5322,13.337655016910936
23,8257864097698037800.0,100,5000,0.0,5126,13.73371049551307
24,7063384055278719000.0,100,5000,0.0,5065,13.767028627838105
25,2332999618624172000.0,100,5000,0.0,5297,13.39097602416462
26,2367763147436830700.0,100,5000,0.0,5080,13.999409448818898
27,3964987465131933700.0,100,5000,0.0,5238,13.233104238258877
28,5121099834635855900.0,100,5000,0.0,5017,13.953956547737691
29,24469781100542976.0,100,5000,0.0,5289,13.449990546417093
30,2279608072103842820.0,100,5000,0.0,5321,12.70926517571885
31,3729972857219419100.0,100,5000,0.0,4794,14.923654568210264
32,7893386110819026900.0,100,5000,0.0,5095,13.017271835132483
33,4216513034720937000.0,100,5000,0.0,5017,14.01295594977078
34,7933436094575370200.0,100,5000,0.0,4779,14.796400920694706
35,7477583308288522200.0,100,5000,0.0,4757,14.674795038890057
36,4480606779218341900.0,100,5000,0.0,5033,14.056626266640174
37,3596678083099401200.0,100,5000,0.0,4888,14.313216039279869
38,6420075915773722600.0,100,5000,0.0,4634,15.36965904186448
39,2932640576231769100.0,100,5000,163886.17647058822,4979,14.325165695922877
40,8278344680445391900.0,250,5000,0.0,5602,11.581935023205999
41,3842894466343579600.0,250,5000,0.0,5844,10.913928815879535
42,1195397970080737280.0,250,5000,0.0,5866,10.821172860552336
43,8257864097698037800.0,250,5000,0.0,5619,10.94376223527318
44,7063384055278719000.0,250,5000,0.0,5720,11.28548951048951
45,2332999618624172000.0,250,5000,0.0,5797,11.010522684146972
46,2367763147436830700.0,250,5000,0.0,6019,10.260840671207841
47,3964987465131933700.0,250,5000,0.0,5887,10.679633089859012
48,5121099834635855900.0,250,5000,0.0,5549,11.420796539917102
49,24469781100542976.0,250,5000,0.0,5716,11.232680195941217
50,2279608072103842820.0,250,5000,0.0,5779,10.763453884755148
51,3729972857219419100.0,250,5000,0.0,5855,11.097865072587531
52,7893386110819026900.0,250,5000,0.0,5811,10.562553777318877
53,4216513034720937000.0,250,5000,0.0,5732,10.987264480111653
54,7933436094575370200.0,250,5000,0.0,5989,10.657872766739022
55,7477583308288522200.0,250,5000,0.0,5787,11.049421116295145
56,4480606779218341900.0,250,5000,0.0,5669,11.164579290880226
57,3596678083099401200.0,250,5000,0.0,5635,11.375155279503106
58,6420075915773722600.0,250,5000,0.0,5570,11.688150807899461
59,2932640576231769100.0,250,5000,184508.5294117647,6051,10.673938192034374
60,8278344680445391900.0,500,5000,0.0,6105,9.933497133497134
61,3842894466343579600.0,500,5000,0.0,5927,9.928969124346212
62,1195397970080737280.0,500,5000,0.0,6086,9.788202431810713
63,8257864097698037800.0,500,5000,0.0,6054,10.090188305252726
64,7063384055278719000.0,500,5000,0.0,6024,9.995683930942896
65,2332999618624172000.0,500,5000,0.0,6136,9.978813559322035
66,2367763147436830700.0,500,5000,0.0,6088,9.917214191852825
67,3964987465131933700.0,500,5000,0.0,5741,10.346281135690646
68,5121099834635855900.0,500,5000,0.0,6075,10.084444444444445
69,24469781100542976.0,500,5000,0.0,5961,10.207347760442879
70,2279608072103842820.0,500,5000,0.0,5696,10.413272471910112
71,3729972857219419100.0,500,5000,0.0,6154,10.046961325966851
72,7893386110819026900.0,500,5000,0.0,6116,9.84614126880314
73,4216513034720937000.0,500,5000,0.0,6033,9.849660202221116
74,7933436094575370200.0,500,5000,0.0,6020,9.772093023255813
75,7477583308288522200.0,500,5000,0.0,6108,10.135723641126392
76,4480606779218341900.0,500,5000,0.0,6043,9.979976832698991
77,3596678083099401200.0,500,5000,0.0,6066,9.898285525881965
78,6420075915773722600.0,500,5000,0.0,5829,10.120260765139818
79,2932640576231769100.0,500,5000,189137.0588235294,6013,10.104606685514717
