int(self),self.seed,disturbance_cycles,self.cycle,avg_traffic,self.total_delivered,mean_cyc_to_deliver
0,2687162880931086300.0,50,5000,0.0,3900,20.86230769230769
1,477132809927030780.0,50,5000,0.0,4074,19.581983308787432
2,5960906707930190800.0,50,5000,0.0,3666,22.20949263502455
3,5068990599657402400.0,50,5000,0.0,3753,21.88462563282707
4,4573864085783609300.0,50,5000,0.0,3662,22.38640087383943
5,2362785623889932300.0,50,5000,0.0,3856,20.5173755186722
6,1556989117551374340.0,50,5000,0.0,3807,21.168111373785134
7,1129172616076041220.0,50,5000,0.0,3762,21.949494949494948
8,3102136880941575200.0,50,5000,0.0,3807,21.5043341213554
9,7691206866766091300.0,50,5000,0.0,3421,24.413329435837476
10,3647454855373955100.0,50,5000,0.0,3624,22.730960264900663
11,6394305625517060100.0,50,5000,0.0,3602,23.21071626873959
12,5461476662528403500.0,50,5000,0.0,4046,20.211814137419672
13,7041381563329593300.0,50,5000,0.0,3912,20.25869120654397
14,7768005313324205100.0,50,5000,0.0,3842,21.151743883394065
15,6638210788111563800.0,50,5000,0.0,3788,21.705385427666315
16,5314246869387340800.0,50,5000,0.0,3591,23.47340573656363
17,7742584551437179900.0,50,5000,0.0,3097,26.765579593154666
18,1368116869841372160.0,50,5000,0.0,3579,23.002514668901927
19,3436149269689094100.0,50,5000,133956.88235294117,3772,22.001590668080595
20,2687162880931086300.0,100,5000,0.0,4992,14.685496794871796
21,477132809927030780.0,100,5000,0.0,5314,12.848889725254045
22,5960906707930190800.0,100,5000,0.0,4902,14.544471644226846
23,5068990599657402400.0,100,5000,0.0,5001,14.614077184563087
24,4573864085783609300.0,100,5000,0.0,4773,14.659543264194427
25,2362785623889932300.0,100,5000,0.0,4911,14.281612706169822
26,1556989117551374340.0,100,5000,0.0,4988,14.20850040096231
27,1129172616076041220.0,100,5000,0.0,4858,14.646768217373404
28,3102136880941575200.0,100,5000,0.0,4985,13.404613841524574
29,7691206866766091300.0,100,5000,0.0,4870,14.460780287474332
30,3647454855373955100.0,100,5000,0.0,5199,13.547605308713214
31,6394305625517060100.0,100,5000,0.0,5280,13.37253787878788
32,5461476662528403500.0,100,5000,0.0,5101,14.10292099588316
33,7041381563329593300.0,100,5000,0.0,4558,15.160157964019307
34,7768005313324205100.0,100,5000,0.0,4702,14.658230540195662
35,6638210788111563800.0,100,5000,0.0,5022,14.115890083632019
36,5314246869387340800.0,100,5000,0.0,4948,14.483023443815684
37,7742584551437179900.0,100,5000,0.0,4983,14.532008830022075
38,1368116869841372160.0,100,5000,0.0,4866,14.640361693382655
39,3436149269689094100.0,100,5000,162270.70588235295,4891,14.517481087712124
40,2687162880931086300.0,250,5000,0.0,5912,10.703822733423545
41,477132809927030780.0,250,5000,0.0,5723,10.859164773720076
42,5960906707930190800.0,250,5000,0.0,5874,10.823970037453183
43,5068990599657402400.0,250,5000,0.0,5688,10.795534458509142
44,4573864085783609300.0,250,5000,0.0,5699,10.862081066853834
45,2362785623889932300.0,250,5000,0.0,5636,11.149751596877218
46,1556989117551374340.0,250,5000,0.0,5332,12.08364591147787
47,1129172616076041220.0,250,5000,0.0,5879,10.838407892498724
48,3102136880941575200.0,250,5000,0.0,5952,10.30510752688172
49,7691206866766091300.0,250,5000,0.0,5785,11.438375108038029
50,3647454855373955100.0,250,5000,0.0,5761,10.961638604408957
51,6394305625517060100.0,250,5000,0.0,5712,11.019957983193278
52,5461476662528403500.0,250,5000,0.0,5511,11.50081654872074
53,7041381563329593300.0,250,5000,0.0,5651,11.178021589099275
54,7768005313324205100.0,250,5000,0.0,5756,11.098679638637943
55,6638210788111563800.0,250,5000,0.0,5899,10.769452449567723
56,5314246869387340800.0,250,5000,0.0,5531,11.311878502983186
57,7742584551437179900.0,250,5000,0.0,5622,11.159018143009606
58,1368116869841372160.0,250,5000,0.0,5832,10.585219478737997
59,3436149269689094100.0,250,5000,182675.76470588235,5742,10.805468477882272
60,2687162880931086300.0,500,5000,0.0,5970,10.146733668341708
61,477132809927030780.0,500,5000,0.0,6052,9.797587574355585
62,5960906707930190800.0,500,5000,0.0,6054,9.976214073339941
63,5068990599657402400.0,500,5000,0.0,5991,9.965281255216157
64,4573864085783609300.0,500,5000,0.0,6101,9.894771348959187
65,2362785623889932300.0,500,5000,0.0,6172,9.659429682436812
66,1556989117551374340.0,500,5000,0.0,6111,10.020782196039928
67,1129172616076041220.0,500,5000,0.0,5967,10.16557734204793
68,3102136880941575200.0,500,5000,0.0,6357,9.882963662104766
69,7691206866766091300.0,500,5000,0.0,6244,9.742793081358103
70,3647454855373955100.0,500,5000,0.0,6186,9.779663756870352
71,6394305625517060100.0,500,5000,0.0,6155,10.094394800974817
72,5461476662528403500.0,500,5000,0.0,6064,9.978891820580476
73,7041381563329593300.0,500,5000,0.0,5842,10.146867511126327
74,7768005313324205100.0,500,5000,0.0,5882,10.293607616456988
75,6638210788111563800.0,500,5000,0.0,5854,10.058592415442433
76,5314246869387340800.0,500,5000,0.0,5998,10.035345115038346
77,7742584551437179900.0,500,5000,0.0,5942,10.026253786603837
78,1368116869841372160.0,500,5000,0.0,5913,10.049382716049383
79,3436149269689094100.0,500,5000,191178.0588235294,5994,10.148148148148149
