int(self),self.seed,disturbance_cycles,self.cycle,avg_traffic,self.total_delivered,mean_cyc_to_deliver
0,6209124340629365800.0,50,5000,0.0,315,312.4095238095238
1,2148297796067860480.0,50,5000,0.0,330,290.7818181818182
2,7515830678040614900.0,50,5000,0.0,351,269.85185185185185
3,2257082215021879300.0,50,5000,0.0,352,279.46022727272725
4,5934645562390107100.0,50,5000,0.0,299,319.52842809364546
5,9026122944893463600.0,50,5000,0.0,342,281.69590643274853
6,908799143143331840.0,50,5000,0.0,343,272.4402332361516
7,4453279800166836200.0,50,5000,0.0,328,292.8109756097561
8,1933222870011639810.0,50,5000,0.0,388,251.31701030927834
9,3813121877448159200.0,50,5000,0.0,405,243.90123456790124
10,8558984151401621500.0,50,5000,0.0,341,288.92961876832845
11,6392049337572108300.0,50,5000,0.0,330,292.56666666666666
12,1262955705070068740.0,50,5000,0.0,383,257.5613577023499
13,4843072200857286700.0,50,5000,0.0,314,309.828025477707
14,3397205354203553800.0,50,5000,0.0,380,252.84473684210528
15,7622516738761310200.0,50,5000,0.0,321,300.595015576324
16,2732179657840542700.0,50,5000,0.0,343,279.56268221574345
17,6909198988874871800.0,50,5000,0.0,376,259.9973404255319
18,5859576326191964200.0,50,5000,0.0,321,303.26791277258565
19,2964658188206383100.0,50,5000,0.0,326,290.49693251533745
20,6209124340629365800.0,100,5000,0.0,382,252.92670157068062
21,2148297796067860480.0,100,5000,0.0,356,265.8623595505618
22,7515830678040614900.0,100,5000,0.0,405,227.34074074074073
23,2257082215021879300.0,100,5000,0.0,403,239.8138957816377
24,5934645562390107100.0,100,5000,0.0,362,269.3121546961326
25,9026122944893463600.0,100,5000,0.0,394,242.82994923857868
26,908799143143331840.0,100,5000,0.0,398,243.92964824120602
27,4453279800166836200.0,100,5000,0.0,360,263.5083333333333
28,1933222870011639810.0,100,5000,0.0,347,281.2968299711816
29,3813121877448159200.0,100,5000,0.0,386,237.79274611398964
30,8558984151401621500.0,100,5000,0.0,437,224.62700228832952
31,6392049337572108300.0,100,5000,0.0,339,280.4306784660767
32,1262955705070068740.0,100,5000,0.0,363,253.71349862258953
33,4843072200857286700.0,100,5000,0.0,335,277.3820895522388
34,3397205354203553800.0,100,5000,0.0,367,261.3324250681199
35,7622516738761310200.0,100,5000,0.0,344,270.7005813953488
36,2732179657840542700.0,100,5000,0.0,429,225.65967365967367
37,6909198988874871800.0,100,5000,0.0,303,316.22442244224425
38,5859576326191964200.0,100,5000,0.0,358,271.49441340782124
39,2964658188206383100.0,100,5000,0.0,421,229.70783847980996
40,6209124340629365800.0,250,5000,0.0,699,125.80257510729614
41,2148297796067860480.0,250,5000,0.0,475,200.65473684210525
42,7515830678040614900.0,250,5000,0.0,596,154.6728187919463
43,2257082215021879300.0,250,5000,0.0,1075,88.83720930232558
44,5934645562390107100.0,250,5000,0.0,585,164.05982905982907
45,9026122944893463600.0,250,5000,0.0,984,95.4308943089431
46,908799143143331840.0,250,5000,0.0,737,130.763907734057
47,4453279800166836200.0,250,5000,0.0,725,131.9241379310345
48,1933222870011639810.0,250,5000,0.0,700,137.32285714285715
49,3813121877448159200.0,250,5000,0.0,752,122.27127659574468
50,8558984151401621500.0,250,5000,0.0,889,108.49606299212599
51,6392049337572108300.0,250,5000,0.0,701,131.16262482168332
52,1262955705070068740.0,250,5000,0.0,856,108.49532710280374
53,4843072200857286700.0,250,5000,0.0,710,132.85915492957747
54,3397205354203553800.0,250,5000,0.0,699,134.9241773962804
55,7622516738761310200.0,250,5000,0.0,524,183.26908396946564
56,2732179657840542700.0,250,5000,0.0,541,175.99445471349352
57,6909198988874871800.0,250,5000,0.0,649,146.29738058551618
58,5859576326191964200.0,250,5000,0.0,657,141.9786910197869
59,2964658188206383100.0,250,5000,0.0,650,148.60923076923078
60,6209124340629365800.0,500,5000,0.0,1631,57.39484978540773
61,2148297796067860480.0,500,5000,0.0,1236,75.0
62,7515830678040614900.0,500,5000,0.0,1703,54.64063417498532
63,2257082215021879300.0,500,5000,0.0,1486,63.88761776581427
64,5934645562390107100.0,500,5000,0.0,1855,49.81024258760108
65,9026122944893463600.0,500,5000,0.0,1541,61.605451005840365
66,908799143143331840.0,500,5000,0.0,1491,64.8242790073776
67,4453279800166836200.0,500,5000,0.0,1483,61.65947403910991
68,1933222870011639810.0,500,5000,0.0,1459,63.24263193968471
69,3813121877448159200.0,500,5000,0.0,1833,49.47681396617567
70,8558984151401621500.0,500,5000,0.0,1744,50.98509174311926
71,6392049337572108300.0,500,5000,0.0,1664,58.30228365384615
72,1262955705070068740.0,500,5000,0.0,1735,51.10317002881845
73,4843072200857286700.0,500,5000,0.0,3061,27.033975824893826
74,3397205354203553800.0,500,5000,0.0,1657,55.76825588412794
75,7622516738761310200.0,500,5000,0.0,1728,51.170717592592595
76,2732179657840542700.0,500,5000,0.0,1670,55.27185628742515
77,6909198988874871800.0,500,5000,0.0,1666,56.73829531812725
78,5859576326191964200.0,500,5000,0.0,1675,52.321194029850744
79,2964658188206383100.0,500,5000,0.0,1492,61.86260053619303
