int(self),self.seed,disturbance_cycles,self.cycle,avg_traffic,self.total_delivered,mean_cyc_to_deliver
0,8084464195445057500.0,50,1000,61.0,999,12.225225225225225
1,6735199286260896800.0,50,1000,68.0,1001,13.092907092907092
2,1918752850943009790.0,50,1000,57.0,1016,11.77263779527559
3,3854118875320212500.0,50,1000,60.0,882,13.439909297052154
4,8084464195445057500.0,100,1000,31.0,1055,10.470142180094786
5,6735199286260896800.0,100,1000,36.0,1104,10.804347826086957
6,1918752850943009790.0,100,1000,30.0,1100,10.588181818181818
7,3854118875320212500.0,100,1000,32.0,1104,10.92663043478261
8,8084464195445057500.0,250,1000,16.0,1082,10.070240295748613
9,6735199286260896800.0,250,1000,12.0,1167,9.624678663239074
10,1918752850943009790.0,250,1000,17.0,1176,9.850340136054422
11,3854118875320212500.0,250,1000,13.0,1178,9.956706281833617
12,8084464195445057500.0,500,1000,7.0,1176,9.602891156462585
13,6735199286260896800.0,500,1000,9.0,1194,9.360971524288107
14,1918752850943009790.0,500,1000,9.0,1178,9.564516129032258
15,3854118875320212500.0,500,1000,9.0,1160,9.669827586206896
