int(self),self.seed,disturbance_cycles,self.cycle,avg_traffic,self.total_delivered,mean_cyc_to_deliver
0,"7,76684658522782E+018",50,5000,0,5359,"11,9787273745102"
1,"1,03412232335564E+018",50,5000,0,5711,"10,9726842934687"
2,"2,77794901960851E+018",50,5000,0,5363,"11,5545403691963"
3,"8,87163842861703E+018",50,5000,0,5078,"12,4090192989366"
4,"2,13881054804242E+018",50,5000,0,5299,"11,9909416871108"
5,"2,89295168458202E+018",50,5000,0,5155,"12,2230843840931"
6,"4,92154155760999E+018",50,5000,0,4886,"12,8669668440442"
7,"8,0087843530984E+017",50,5000,0,5379,"11,7142591559769"
8,"5,52786203862107E+018",50,5000,0,4966,"12,6286749899315"
9,"1,37944653755114E+018",50,5000,0,5005,"12,435964035964"
10,"8,02909448925833E+018",50,5000,0,5436,"11,5117733627667"
11,"1,67787485065059E+018",50,5000,0,5314,"12,0101618366579"
12,"5,06074572078323E+017",50,5000,0,5357,"11,6068695165204"
13,"6,95926422544932E+018",50,5000,0,5295,"11,8203966005666"
14,"4,73263552436634E+018",50,5000,0,5570,"11,2228007181329"
15,"6,5835733107915E+018",50,5000,0,4794,"13,2480183562787"
16,"6,42786611497968E+018",50,5000,0,5122,"12,2370167903163"
17,"7,55252090300051E+018",50,5000,0,5117,"12,4674614031659"
18,"2,8966642275838E+018",50,5000,0,5065,"12,2588351431392"
19,"6,46466456788516E+018",50,5000,5967,5340,"11,6664794007491"
20,"7,76684658522782E+018",100,5000,0,5552,"10,7631484149856"
21,"1,03412232335564E+018",100,5000,0,5944,"10,0750336473755"
22,"2,77794901960851E+018",100,5000,0,5822,"10,4106836138784"
23,"8,87163842861703E+018",100,5000,0,5727,"10,395669635062"
24,"2,13881054804242E+018",100,5000,0,5692,"10,5172171468728"
25,"2,89295168458202E+018",100,5000,0,5884,"10,3686267845003"
26,"4,92154155760999E+018",100,5000,0,5717,"10,8317299282841"
27,"8,0087843530984E+017",100,5000,0,5939,"10,2404445192793"
28,"5,52786203862107E+018",100,5000,0,5722,"10,3874519398812"
29,"1,37944653755114E+018",100,5000,0,5807,"10,5405545031858"
30,"8,02909448925833E+018",100,5000,0,5793,"10,3134817883653"
31,"1,67787485065059E+018",100,5000,0,5791,"10,4793645311691"
32,"5,06074572078323E+017",100,5000,0,6078,"9,88005923000987"
33,"6,95926422544932E+018",100,5000,0,5684,"10,4809992962702"
34,"4,73263552436634E+018",100,5000,0,6040,"9,9796357615894"
35,"6,5835733107915E+018",100,5000,0,5675,"10,5534801762115"
36,"6,42786611497968E+018",100,5000,0,6056,"9,93840819022457"
37,"7,55252090300051E+018",100,5000,0,5562,"11,0862998921251"
38,"2,8966642275838E+018",100,5000,0,5466,"11,3922429564581"
39,"6,46466456788516E+018",100,5000,3004,5680,"10,7230633802817"
40,"7,76684658522782E+018",250,5000,0,6078,"9,64939124712076"
41,"1,03412232335564E+018",250,5000,0,5808,"9,76945592286501"
42,"2,77794901960851E+018",250,5000,0,6178,"9,39187439300745"
43,"8,87163842861703E+018",250,5000,0,6010,"9,79450915141431"
44,"2,13881054804242E+018",250,5000,0,5927,"10,1484730892526"
45,"2,89295168458202E+018",250,5000,0,6055,"9,7402146985962"
46,"4,92154155760999E+018",250,5000,0,6244,"9,51265214606022"
47,"8,0087843530984E+017",250,5000,0,5919,"9,80841358337557"
48,"5,52786203862107E+018",250,5000,0,6141,"9,68620745806872"
49,"1,37944653755114E+018",250,5000,0,5837,"9,9652218605448"
50,"8,02909448925833E+018",250,5000,0,6032,"9,74519230769231"
51,"1,67787485065059E+018",250,5000,0,5990,"9,83606010016695"
52,"5,06074572078323E+017",250,5000,0,6306,"9,43514113542658"
53,"6,95926422544932E+018",250,5000,0,6003,"9,94785940363152"
54,"4,73263552436634E+018",250,5000,0,6027,"9,67429898788784"
55,"6,5835733107915E+018",250,5000,0,6057,"9,80056133399373"
56,"6,42786611497968E+018",250,5000,0,6117,"9,61778649664868"
57,"7,55252090300051E+018",250,5000,0,5923,"9,6680736113456"
58,"2,8966642275838E+018",250,5000,0,6173,"9,50461687996112"
59,"6,46466456788516E+018",250,5000,1256,5834,"10,2610558793281"
60,"7,76684658522782E+018",500,5000,0,6117,"9,47621383030898"
61,"1,03412232335564E+018",500,5000,0,6295,"9,32501985702939"
62,"2,77794901960851E+018",500,5000,0,6384,"9,24420426065163"
63,"8,87163842861703E+018",500,5000,0,6524,"9,07127529123237"
64,"2,13881054804242E+018",500,5000,0,6482,"9,09318111693922"
65,"2,89295168458202E+018",500,5000,0,6010,"9,57504159733777"
66,"4,92154155760999E+018",500,5000,0,6298,"9,28691648142267"
67,"8,0087843530984E+017",500,5000,0,6331,"9,49044384773338"
68,"5,52786203862107E+018",500,5000,0,6110,"9,52307692307692"
69,"1,37944653755114E+018",500,5000,0,6075,"9,42716049382716"
70,"8,02909448925833E+018",500,5000,0,6015,"9,5737323358271"
71,"1,67787485065059E+018",500,5000,0,6169,"9,47187550656508"
72,"5,06074572078323E+017",500,5000,0,6220,"9,37813504823151"
73,"6,95926422544932E+018",500,5000,0,6343,"9,36339271638026"
74,"4,73263552436634E+018",500,5000,0,6330,"9,24676145339653"
75,"6,5835733107915E+018",500,5000,0,6259,"9,33807317462854"
76,"6,42786611497968E+018",500,5000,0,6260,"9,30415335463259"
77,"7,55252090300051E+018",500,5000,0,6099,"9,3295622233153"
78,"2,8966642275838E+018",500,5000,0,6119,"9,39369177970257"
79,"6,46466456788516E+018",500,5000,665,6209,"9,31969721372202"
