int(self),disturbance_cycles,self.cycle,self.no_transporter,self.total_delivered,mean_cyc_to_deliver
60,50,5000,34,7409,12.66918612498313
61,50,5000,34,7351,12.587947218065569
62,50,5000,34,7415,12.350505731625084
63,50,5000,34,7394,12.770489586150934
64,50,5000,34,7539,12.477649555643985
65,50,5000,34,7600,12.54171052631579
66,50,5000,34,7595,12.296379196840027
67,50,5000,34,7573,12.45965931599102
68,50,5000,34,7895,12.060037998733376
69,50,5000,34,7456,12.56773068669528
70,50,5000,34,7777,12.097981226694097
71,50,5000,34,7388,12.475500812127775
72,50,5000,34,7540,12.21551724137931
73,50,5000,34,7367,12.97271616668929
74,50,5000,34,7593,12.24667456868168
75,50,5000,34,7703,12.305854861742178
76,50,5000,34,7383,12.689015305431397
77,50,5000,34,7524,12.758107389686337
78,50,5000,34,7782,12.359804677460806
79,50,5000,34,7640,12.398298429319372
140,50,5000,68,10607,10.546620156500424
141,50,5000,68,10491,10.562768086931655
142,50,5000,68,10508,10.537114579368101
143,50,5000,68,10568,10.331566994700983
144,50,5000,68,10559,10.478170281276636
145,50,5000,68,10593,10.484754082884924
146,50,5000,68,10646,10.524610182228066
147,50,5000,68,10660,10.401031894934334
148,50,5000,68,10510,10.397526165556613
149,50,5000,68,10644,10.373449830890642
150,50,5000,68,10656,10.261542792792794
151,50,5000,68,10532,10.588017470565894
152,50,5000,68,10697,10.388613629989717
153,50,5000,68,10698,10.257431295569265
154,50,5000,68,10630,10.444590780809031
155,50,5000,68,10541,10.697277298169054
156,50,5000,68,10570,10.488457899716177
157,50,5000,68,10479,10.629544803893502
158,50,5000,68,10439,10.282115145128843
159,50,5000,68,10546,10.314621657500474
220,100,5000,34,8160,10.045955882352942
221,100,5000,34,7992,10.31519019019019
222,100,5000,34,8132,10.448106246925725
223,100,5000,34,7863,10.635635253719954
224,100,5000,34,8192,10.21337890625
225,100,5000,34,8038,10.512067678526996
226,100,5000,34,8202,10.373079736649597
227,100,5000,34,8003,10.459077845807823
228,100,5000,34,8056,10.527929493545184
229,100,5000,34,8084,10.23156853043048
230,100,5000,34,8296,10.034474445515912
231,100,5000,34,8160,10.501102941176471
232,100,5000,34,8089,10.273334157497837
233,100,5000,34,8206,10.314647818669266
234,100,5000,34,8052,10.407228017883755
235,100,5000,34,8068,10.34766980664353
236,100,5000,34,8282,10.237020043467762
237,100,5000,34,8062,10.31915157529149
238,100,5000,34,8009,10.582095142964166
239,100,5000,34,8145,10.523265807243709
300,100,5000,68,10909,9.3960033000275
301,100,5000,68,10873,9.284374137772463
302,100,5000,68,10844,9.25479527849502
303,100,5000,68,10901,9.390055958168976
304,100,5000,68,11000,9.239181818181818
305,100,5000,68,10929,9.289504986732547
306,100,5000,68,11029,9.18605494605132
307,100,5000,68,10927,9.194289374942802
308,100,5000,68,10932,9.38547383827296
309,100,5000,68,10906,9.300843572345498
310,100,5000,68,10889,9.287170539076131
311,100,5000,68,10929,9.395553115564095
312,100,5000,68,10924,9.250274624679605
313,100,5000,68,10919,9.153585493177031
314,100,5000,68,10956,9.272727272727273
315,100,5000,68,10905,9.260064190738193
316,100,5000,68,10979,9.287184625193552
317,100,5000,68,10838,9.262225502860307
318,100,5000,68,10933,9.255190707033751
319,100,5000,68,10987,9.359424774733776
380,250,5000,34,8482,9.100212214100448
381,250,5000,34,8491,9.08208691555765
382,250,5000,34,8558,9.317948118719327
383,250,5000,34,8693,9.146324629011849
384,250,5000,34,8669,9.296689352866537
385,250,5000,34,8395,9.293388921977368
386,250,5000,34,8469,9.08253630889125
387,250,5000,34,8614,9.144996517297423
388,250,5000,34,8422,9.202802184754216
389,250,5000,34,8539,9.20950931022368
390,250,5000,34,8413,9.183050041602282
391,250,5000,34,8404,9.283198476915754
392,250,5000,34,8462,9.11025762231151
393,250,5000,34,8639,8.860284755179997
394,250,5000,34,8299,9.321123026870707
395,250,5000,34,8275,9.259577039274925
396,250,5000,34,8489,9.217575686182117
397,250,5000,34,8303,9.452848368059737
398,250,5000,34,8553,9.184496667835846
399,250,5000,34,8480,9.028301886792454
460,250,5000,68,11187,8.66720300348619
461,250,5000,68,11223,8.708723157800945
462,250,5000,68,11202,8.65122299589359
463,250,5000,68,11189,8.666547502010904
464,250,5000,68,11295,8.630987162461267
465,250,5000,68,11203,8.608229938409355
466,250,5000,68,11298,8.621348911311737
467,250,5000,68,11194,8.602644273718063
468,250,5000,68,11142,8.620804164422905
469,250,5000,68,11259,8.749800159872102
470,250,5000,68,11011,8.574970484061392
471,250,5000,68,11096,8.673485940879596
472,250,5000,68,11073,8.597579698365394
473,250,5000,68,11104,8.597082132564841
474,250,5000,68,11012,8.636578278241918
475,250,5000,68,11151,8.636176127701551
476,250,5000,68,11115,8.635807467386416
477,250,5000,68,11155,8.759569699686239
478,250,5000,68,11155,8.61963245181533
479,250,5000,68,11288,8.709780297661233
540,500,5000,34,8690,8.783659378596088
541,500,5000,34,8781,8.704361690012528
542,500,5000,34,8711,8.744116634140742
543,500,5000,34,8727,8.912799358313281
544,500,5000,34,8582,8.814378932649731
545,500,5000,34,8501,8.847547347370897
546,500,5000,34,8617,8.827550191481954
547,500,5000,34,8692,8.839162448228256
548,500,5000,34,8643,8.888927455744533
549,500,5000,34,8507,8.909486305395557
550,500,5000,34,8679,8.804355340477013
551,500,5000,34,8526,8.997067792634295
552,500,5000,34,8780,8.79259681093394
553,500,5000,34,8619,8.799628727230537
554,500,5000,34,8559,8.71900923005024
555,500,5000,34,8725,8.717134670487106
556,500,5000,34,8594,8.780893646730277
557,500,5000,34,8570,8.938739789964995
558,500,5000,34,8531,8.819716328683624
559,500,5000,34,8861,8.65556934883196
620,500,5000,68,11244,8.444681607968695
621,500,5000,68,11292,8.41330145235565
622,500,5000,68,11243,8.443742773281153
623,500,5000,68,11183,8.490118930519538
624,500,5000,68,11259,8.437072564170885
625,500,5000,68,11191,8.419176123670807
626,500,5000,68,11197,8.39278378137001
627,500,5000,68,11255,8.422301199466904
628,500,5000,68,11153,8.480408858603067
629,500,5000,68,11345,8.377787571617453
630,500,5000,68,11113,8.404481238189508
631,500,5000,68,11102,8.40506215096379
632,500,5000,68,11136,8.426005747126437
633,500,5000,68,11205,8.414279339580544
634,500,5000,68,11369,8.424047849415077
635,500,5000,68,11308,8.496374248319773
636,500,5000,68,11253,8.459521905269705
637,500,5000,68,11167,8.447389630160293
638,500,5000,68,11254,8.386795805935668
639,500,5000,68,11208,8.401855817273375
