int(self),disturbance_cycles,self.cycle,self.no_transporter,self.total_delivered,mean_cyc_to_deliver
40,50,5000,34,7460,12.820509383378017
41,50,5000,34,7557,13.005557761016277
42,50,5000,34,7178,13.523544162719421
43,50,5000,34,7310,13.673187414500685
44,50,5000,34,7329,13.121026060854142
45,50,5000,34,7283,13.343677056158176
46,50,5000,34,6906,14.374167390674776
47,50,5000,34,7324,13.268432550518842
48,50,5000,34,7269,13.088182693630486
49,50,5000,34,7296,13.600877192982455
50,50,5000,34,7466,12.97294401285829
51,50,5000,34,7341,12.761612859283476
52,50,5000,34,7285,13.640082361015786
53,50,5000,34,7385,13.07190250507786
54,50,5000,34,7160,14.037569832402234
55,50,5000,34,7197,13.080450187578158
56,50,5000,34,7256,13.34550716648291
57,50,5000,34,7519,12.867269583721239
58,50,5000,34,7400,13.36945945945946
59,50,5000,34,7251,13.38505033788443
120,50,5000,68,10408,11.006149116064567
121,50,5000,68,10557,11.147106185469356
122,50,5000,68,10343,11.053949531083825
123,50,5000,68,10351,11.202492512800696
124,50,5000,68,10563,10.967433494272461
125,50,5000,68,10613,10.94290021671535
126,50,5000,68,10586,10.96098620819951
127,50,5000,68,10262,11.135548625998831
128,50,5000,68,10554,11.148758764449498
129,50,5000,68,10466,11.219185935409898
130,50,5000,68,10337,11.079520170262166
131,50,5000,68,10461,10.774591339260109
132,50,5000,68,10216,11.393500391542679
133,50,5000,68,10443,11.057646270228862
134,50,5000,68,10331,11.211305778724228
135,50,5000,68,10407,11.33439031421159
136,50,5000,68,10455,11.106169296987087
137,50,5000,68,10479,11.099627827082736
138,50,5000,68,10447,11.072460993586676
139,50,5000,68,10445,11.221445667783629
200,100,5000,34,7888,10.857758620689655
201,100,5000,34,7668,11.166014606155452
202,100,5000,34,7958,10.892937924101533
203,100,5000,34,7990,10.724405506883604
204,100,5000,34,7815,10.990531030070377
205,100,5000,34,7960,10.40427135678392
206,100,5000,34,7918,10.967289719626168
207,100,5000,34,7965,10.44419334588826
208,100,5000,34,7925,10.778170347003154
209,100,5000,34,8156,10.420426679744972
210,100,5000,34,8224,10.400778210116732
211,100,5000,34,7911,10.914928580457591
212,100,5000,34,7987,10.632402654313259
213,100,5000,34,8042,10.690624222830142
214,100,5000,34,7812,10.684971838197646
215,100,5000,34,8052,10.797193243914556
216,100,5000,34,8102,10.42039002715379
217,100,5000,34,7819,10.943854712878885
218,100,5000,34,8166,10.680382072005878
219,100,5000,34,7908,10.893146181082448
280,100,5000,68,10998,9.60020003637025
281,100,5000,68,10969,9.53596499225089
282,100,5000,68,10738,9.587167070217918
283,100,5000,68,10946,9.506486387721543
284,100,5000,68,10876,9.677638837808018
285,100,5000,68,10999,9.507682516592418
286,100,5000,68,10866,9.718203570771212
287,100,5000,68,10888,9.393460690668626
288,100,5000,68,10671,9.508293505763284
289,100,5000,68,10816,9.403383875739644
290,100,5000,68,10993,9.510415719093968
291,100,5000,68,10954,9.461840423589557
292,100,5000,68,10870,9.766513339466421
293,100,5000,68,10803,9.661020087012867
294,100,5000,68,10718,9.678671393916776
295,100,5000,68,10947,9.464328126427331
296,100,5000,68,10909,9.736456137134477
297,100,5000,68,10920,9.619413919413919
298,100,5000,68,10797,9.71964434565157
299,100,5000,68,10894,9.652377455480082
360,250,5000,34,8451,9.350846053721453
361,250,5000,34,8301,9.633417660522829
362,250,5000,34,8464,9.286389413988658
363,250,5000,34,8719,9.208280766142906
364,250,5000,34,8673,9.274530151043468
365,250,5000,34,8725,9.248481375358166
366,250,5000,34,8598,9.440567573854384
367,250,5000,34,8415,9.358526440879382
368,250,5000,34,8557,9.317868411826575
369,250,5000,34,8526,9.386582219094535
370,250,5000,34,8457,9.363722360175004
371,250,5000,34,8254,9.6955415556094
372,250,5000,34,8442,9.26285240464345
373,250,5000,34,8334,9.373410127189825
374,250,5000,34,8493,9.210290827740492
375,250,5000,34,8426,9.263944932352244
376,250,5000,34,8474,9.337266934151522
377,250,5000,34,8455,9.31023063276168
378,250,5000,34,8333,9.296171846873875
379,250,5000,34,8327,9.38645370481566
440,250,5000,68,11303,8.78687074228081
441,250,5000,68,11018,8.752042112906153
442,250,5000,68,11126,8.770807118461262
443,250,5000,68,11067,8.779072919490376
444,250,5000,68,11110,8.68865886588659
445,250,5000,68,11118,8.807429393775859
446,250,5000,68,11026,8.77743515327408
447,250,5000,68,11107,8.828576573332134
448,250,5000,68,11000,8.751
449,250,5000,68,11068,8.740964943982652
450,250,5000,68,11168,8.679262177650429
451,250,5000,68,11116,8.73749550197913
452,250,5000,68,11068,8.783700758944706
453,250,5000,68,11044,8.793100325968853
454,250,5000,68,11020,8.817150635208712
455,250,5000,68,11198,8.721289515984997
456,250,2903,68,6304,8.919416243654823
457,250,2903,68,6472,8.737330037082819
458,250,2903,68,6239,8.709408559063952
459,250,2903,68,6415,8.831176929072486
520,500,5000,34,8477,8.930281939365342
521,500,5000,34,8454,8.96120179796546
522,500,5000,34,8625,8.8391884057971
523,500,5000,34,8712,8.920913682277318
524,500,5000,34,8389,8.985218738824651
525,500,5000,34,8742,8.902425074353696
526,500,5000,34,8438,8.918938136999289
527,500,5000,34,8770,8.700342075256556
528,500,5000,34,8448,8.791666666666666
529,500,5000,34,8455,8.838202247191012
530,500,5000,34,8664,8.795821791320407
531,500,5000,34,8577,8.844934126151335
532,500,5000,34,8567,8.994046924244193
533,500,5000,34,8611,8.776100336778539
534,500,5000,34,8634,8.919735927727588
535,500,5000,34,8693,8.828827792476705
536,500,5000,34,8588,8.943875174662319
537,500,5000,34,8637,8.890123885608428
538,500,5000,34,8519,8.951285362131706
539,500,5000,34,8680,8.769930875576037
600,500,5000,68,11088,8.58829365079365
601,500,5000,68,11201,8.53655923578252
602,500,5000,68,11113,8.477818770808963
603,500,5000,68,11134,8.514639841925634
604,500,5000,68,11290,8.406465899025687
605,500,5000,68,11277,8.417398244213887
606,500,5000,68,11164,8.387047653170907
607,500,5000,68,11094,8.500090138813773
