int(self),disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
20,50,5000,7712,11.625907676348548
21,50,5000,7799,11.797922810616745
22,50,5000,7871,11.630669546436286
23,50,5000,7634,11.904637149593922
24,50,5000,7690,11.874122236671
25,50,5000,7812,11.457757296466974
26,50,5000,7922,11.534460994698309
27,50,5000,7723,11.764081315550952
28,50,5000,7920,11.314267676767678
29,50,5000,7810,11.767349551856594
30,50,5000,7593,11.884893981298564
31,50,5000,7696,11.918009355509355
32,50,5000,7786,11.69753403544824
33,50,5000,7778,12.010542555926973
34,50,5000,7805,11.893273542600896
35,50,5000,7667,11.6998826137994
36,50,5000,7891,11.808642757571917
37,50,5000,7904,11.141953441295547
38,50,5000,7747,11.94320382083387
39,50,5000,7643,11.791573989271228
100,50,5000,10838,9.729839453773758
101,50,5000,10955,9.643267914194432
102,50,5000,10860,9.705709023941068
103,50,5000,10819,9.750901192346797
104,50,5000,10754,9.687186163288079
105,50,5000,10795,9.626679018063918
106,50,5000,10965,9.54391244870041
107,50,5000,10863,9.576176010310228
108,50,5000,10988,9.66672733891518
109,50,5000,10782,9.727416063810054
110,50,5000,10833,9.688451952367766
111,50,5000,10970,9.581403828623518
112,50,5000,10809,9.6924784901471
113,50,5000,10873,9.678285661730893
114,50,5000,10875,9.58206896551724
115,50,5000,10874,9.62286187235608
116,50,5000,10783,9.75164610961699
117,50,5000,10971,9.657825175462584
118,50,5000,10965,9.726128590971273
119,50,5000,10903,9.603320187104467
180,100,5000,7919,10.239297891147872
181,100,5000,8296,10.01072806171649
182,100,5000,8282,9.951581743540208
183,100,5000,8466,9.950035435861091
184,100,5000,8255,9.931798909751665
185,100,5000,8241,10.007037980827569
186,100,5000,8175,10.184954128440367
187,100,5000,7938,10.29453262786596
188,100,5000,8293,9.93814060050645
189,100,5000,7965,10.296798493408662
190,100,5000,8227,10.170049835906163
191,100,5000,8026,10.144530276601047
192,100,5000,8304,9.990004816955684
193,100,5000,8202,10.043891733723482
194,100,5000,8338,9.804029743343728
195,100,5000,8227,10.196426400875167
196,100,5000,8245,10.058702243784111
197,100,5000,8089,10.082828532575101
198,100,5000,8265,10.074894131881427
199,100,5000,8209,10.354976245584115
260,100,5000,11143,8.930898321816388
261,100,5000,11094,8.932215612042546
262,100,5000,11056,8.94337916063676
263,100,5000,11070,8.97542908762421
264,100,5000,10976,9.118440233236152
265,100,5000,11033,8.962385570561045
266,100,5000,11070,8.878861788617886
267,100,5000,11113,8.86142355799514
268,100,5000,11082,8.964807796426637
269,100,5000,11054,8.957843314637236
270,100,5000,11091,8.976016590027951
271,100,5000,10977,8.98414867450123
272,100,5000,11157,8.913059066057183
273,100,5000,11022,8.884685175104337
274,100,5000,10983,9.003641992169717
275,100,5000,11069,8.902520552895474
276,100,5000,10956,9.041438481197517
277,100,5000,11104,8.88553674351585
278,100,5000,11199,8.934190552727921
279,100,5000,11185,8.887259722843094
340,250,5000,8424,9.153490028490028
341,250,5000,8589,8.989288624985447
342,250,5000,8514,8.996124031007753
343,250,5000,8418,9.152411499168448
344,250,5000,8543,9.033477701041788
345,250,5000,8530,8.973505275498242
346,250,5000,8549,9.215229851444613
347,250,5000,8422,9.036927095701733
348,250,5000,8666,9.030348488345258
349,250,5000,8586,9.05695317959469
350,250,5000,8413,9.07963865446333
351,250,5000,8585,8.888177052999417
352,250,5000,8592,9.032472067039107
353,250,5000,8531,9.093775641777048
354,250,5000,8323,9.291481436981858
355,250,5000,8545,9.247045055588064
356,250,5000,8547,9.253773253773254
357,250,5000,8421,9.098206863792898
358,250,5000,8625,9.142840579710144
359,250,5000,8595,8.969400814426992
420,250,5000,11197,8.52246137358221
421,250,5000,11184,8.491684549356224
422,250,5000,11448,8.498165618448636
423,250,5000,11135,8.51764705882353
424,250,5000,11316,8.541622481442205
425,250,5000,11233,8.52737469954598
426,250,5000,11127,8.500943650579671
427,250,5000,11309,8.474312494473429
428,250,5000,11259,8.503774757971401
429,250,5000,11099,8.546715920353185
430,250,5000,11128,8.48481308411215
431,250,5000,11047,8.486285869466824
432,250,5000,11281,8.473894158319299
433,250,5000,11038,8.545479253487951
434,250,5000,11274,8.50753947135001
435,250,5000,11224,8.480399144689951
436,250,5000,11173,8.511500939765506
437,250,5000,11209,8.525470603978945
438,250,5000,11288,8.499114103472714
439,250,5000,11149,8.478069782043233
500,500,5000,8806,8.691119691119692
501,500,5000,8683,8.832200852240009
502,500,5000,8697,8.731056686213638
503,500,5000,8778,8.627705627705629
504,500,5000,8614,8.641629904806129
505,500,5000,8526,8.845062162796152
506,500,5000,8593,8.771325497497964
507,500,5000,8489,8.777476734597714
508,500,5000,8536,8.779756326148078
509,500,5000,8784,8.67361111111111
510,500,5000,8520,8.7962441314554
511,500,5000,8562,8.721677178229386
512,500,5000,8662,8.865158162087278
513,500,5000,8696,8.705151793928243
514,500,5000,8674,8.747636615171778
515,500,5000,8622,8.843075852470424
516,500,5000,8576,8.633512126865671
517,500,5000,8722,8.704540243063517
518,500,5000,8738,8.839093614099337
519,500,5000,8642,8.78488775746355
580,500,5000,11264,8.313032670454545
581,500,5000,11261,8.427759524020956
582,500,5000,11382,8.392373923739237
583,500,5000,11267,8.34782994585959
584,500,5000,11244,8.40795090715048
585,500,5000,11269,8.331972668382289
586,500,5000,11344,8.315144569816644
587,500,5000,11166,8.39745656457102
588,500,5000,11210,8.411596788581624
589,500,5000,11247,8.373077265048458
590,500,5000,11364,8.350668778599085
591,500,5000,11112,8.342242620590353
592,500,5000,11253,8.360970407891228
593,500,5000,11231,8.37022526934378
594,500,5000,11219,8.352616097691417
595,500,5000,11302,8.377897717218191
596,500,5000,11279,8.351449596595442
597,500,5000,11201,8.379966074457638
598,500,5000,11312,8.371375530410184
599,500,5000,11290,8.342781222320637
