int(self),disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
0,50,5000,7573,12.414366829525948
1,50,5000,7550,12.37205298013245
2,50,5000,7496,12.411552828175026
3,50,5000,7339,12.76059408638779
4,50,5000,7725,12.36168284789644
5,50,5000,7533,12.133014735165272
6,50,5000,7162,13.244903658196035
7,50,5000,7663,12.282917917264779
8,50,5000,7408,12.365550755939525
9,50,5000,7500,12.486533333333334
10,50,5000,7340,12.639918256130791
11,50,5000,7512,12.481496272630459
12,50,5000,7848,12.049566768603466
13,50,5000,7596,12.399552395997894
14,50,5000,7397,12.766932540219008
15,50,5000,7675,12.153355048859934
16,50,5000,7507,13.000666045024644
17,50,5000,7772,12.047735460627894
18,50,5000,7408,12.69748920086393
19,50,5000,7677,12.185228604923799
80,50,5000,10719,10.093292284728053
81,50,5000,10695,10.107152875175316
82,50,5000,10468,10.30569354222392
83,50,5000,10700,10.129345794392524
84,50,5000,10823,9.979857710431489
85,50,5000,10890,10.01864095500459
86,50,5000,10641,9.990414434733578
87,50,5000,10647,9.892457969381047
88,50,5000,10818,9.824181919023848
89,50,5000,10786,9.953921750417207
90,50,5000,10596,10.007172517931295
91,50,5000,10817,10.030322640288436
92,50,5000,10566,10.173007760742003
93,50,5000,10652,10.259200150206533
94,50,5000,10716,10.144736842105264
95,50,5000,10628,10.049021452766278
96,50,5000,10743,10.018616773713115
97,50,5000,10523,10.108239095315025
98,50,5000,10751,10.059436331504045
99,50,5000,10805,10.043961129106895
160,100,5000,8277,10.093753775522533
161,100,5000,8159,10.188626057114842
162,100,5000,8031,10.275059145809987
163,100,5000,8198,10.275798975359844
164,100,5000,8136,10.257374631268437
165,100,5000,8000,10.685625
166,100,5000,8189,10.44694101843937
167,100,5000,8050,10.557888198757764
168,100,5000,8165,10.197917942437233
169,100,5000,8163,10.672791865735636
170,100,5000,8192,10.4378662109375
171,100,5000,8096,10.242588932806324
172,100,5000,8205,10.184034125533211
173,100,5000,8225,10.297386018237082
174,100,5000,8026,10.696112633939697
175,100,5000,8052,10.644932935916543
176,100,5000,8156,10.505149583128985
177,100,5000,8161,10.345545888984192
178,100,5000,7962,10.635267520723437
179,100,5000,8046,10.534302759134974
240,100,5000,10895,9.219458467186783
241,100,5000,11047,9.09604417488911
242,100,5000,10957,9.121839919686046
243,100,5000,10875,9.201471264367816
244,100,5000,11062,9.108750677996746
245,100,5000,10823,9.219162893837199
246,100,5000,11037,9.22506115792335
247,100,5000,10947,9.129533205444414
248,100,5000,10962,9.172778690020069
249,100,5000,11006,9.131837179720153
250,100,5000,10997,9.144675820678367
251,100,5000,10942,9.194205812465729
252,100,5000,11086,8.954627458055205
253,100,5000,11031,9.125192638926661
254,100,5000,11129,9.124898912750472
