int(self),disturbance_cycles,self.cycle,self.no_transporter,self.total_delivered,mean_cyc_to_deliver
0,50,5000,34,7344,12.64229302832244
1,50,5000,34,7410,12.83549257759784
2,50,5000,34,7316,12.517495899398579
3,50,5000,34,7722,11.927738927738927
4,50,5000,34,7501,12.763098253566191
5,50,5000,34,7475,12.58742474916388
6,50,5000,34,7371,12.658662325328992
7,50,5000,34,7250,12.872275862068966
8,50,5000,34,7423,12.593560555031658
9,50,5000,34,7747,12.351361817477732
10,50,5000,34,7649,12.278729245653027
11,50,5000,34,7335,12.831356509884117
12,50,5000,34,7645,11.991497710922172
13,50,5000,34,7520,12.77061170212766
14,50,5000,34,7270,12.993810178817057
15,50,5000,34,7582,12.378000527565286
16,50,5000,34,7665,12.042400521852576
17,50,5000,34,7396,12.680097349918874
18,50,5000,34,7497,12.414165666266507
19,50,5000,34,7540,12.596419098143237
80,50,5000,68,10565,10.24126833885471
81,50,5000,68,10614,10.097701149425287
82,50,5000,68,10604,10.345247076574877
83,50,5000,68,10842,10.004242759638442
84,50,5000,68,10485,10.25312350977587
85,50,5000,68,10912,10.05141129032258
86,50,5000,68,10696,10.196241585639491
87,50,5000,68,10703,9.915257404466038
88,50,5000,68,10628,10.083929243507715
89,50,5000,68,10711,10.094949117729437
90,50,5000,68,10714,10.092402464065708
91,50,5000,68,10806,9.902276513048307
92,50,5000,68,10593,10.123760974228263
93,50,5000,68,10720,10.093283582089553
94,50,5000,68,10658,9.896697316569712
95,50,5000,68,10757,10.077344984661151
96,50,5000,68,10796,9.974249722119303
97,50,5000,68,10546,10.15911245970036
98,50,5000,68,10699,10.070006542667539
99,50,5000,68,10618,10.191938218120173
160,100,5000,34,8163,10.460369962023766
161,100,5000,34,7905,10.434282099936748
162,100,5000,34,8010,10.205992509363297
163,100,5000,34,8161,10.384266633990933
164,100,5000,34,8272,9.836073500967117
165,100,5000,34,8252,10.201042171594764
166,100,5000,34,7924,10.53811206461383
167,100,5000,34,7986,10.538817931379915
168,100,5000,34,7870,10.313087674714104
169,100,5000,34,8164,10.265066144047037
170,100,5000,34,8032,10.7300796812749
171,100,5000,34,8002,10.63696575856036
172,100,5000,34,8141,10.15980837734922
173,100,5000,34,8094,10.615641215715344
174,100,5000,34,8087,10.517373562507728
175,100,5000,34,7876,10.627475876079227
176,100,5000,34,7949,10.815322682098378
177,100,5000,34,7871,10.522551137085504
178,100,5000,34,8243,10.215576853087468
179,100,5000,34,8151,10.35149061464851
240,100,5000,68,11126,9.132212834801367
241,100,5000,68,10838,9.354862520760287
242,100,5000,68,11053,9.112277209807292
243,100,5000,68,10932,9.106019026710575
244,100,5000,68,11094,9.085541734270777
245,100,5000,68,10995,9.197726239199636
246,100,5000,68,11017,9.241445039484432
247,100,5000,68,11039,9.044931606123743
248,100,5000,68,10742,9.295289517780674
249,100,5000,68,10904,9.192223037417461
250,100,5000,68,10998,9.11274777232224
251,100,5000,68,11075,9.125598194130925
252,100,5000,68,10915,9.097205680256527
253,100,5000,68,11006,9.09540250772306
254,100,5000,68,10835,9.170927549607752
255,100,5000,68,11093,8.966194897683224
