int(self),disturbance_cycles,self.cycle,self.no_transporter,self.total_delivered,mean_cyc_to_deliver
20,50,5000,34,7458,12.109680879592384
21,50,5000,34,7806,11.843197540353573
22,50,5000,34,7673,11.732308093314218
23,50,5000,34,7857,11.753086419753087
24,50,5000,34,7609,11.908135103167302
25,50,5000,34,7525,12.109767441860464
26,50,5000,34,7663,11.701813911000913
27,50,5000,34,7757,11.831764857548022
28,50,5000,34,7491,12.075423841943666
29,50,5000,34,7722,11.728179228179227
30,50,5000,34,7735,11.965610859728507
31,50,5000,34,7549,12.306795602066499
32,50,5000,34,7744,11.525309917355372
33,50,5000,34,7755,11.66950354609929
34,50,5000,34,7650,12.036339869281045
35,50,5000,34,7684,11.88872982821447
36,50,5000,34,7752,11.465299277605778
37,50,5000,34,7689,11.735596306411757
38,50,5000,34,7387,12.269392175443347
39,50,5000,34,7927,11.456036331525167
100,50,5000,68,10918,9.690602674482506
101,50,5000,68,10801,9.618924173687622
102,50,5000,68,10844,9.747325710070085
103,50,5000,68,10779,9.730494480007422
104,50,5000,68,10967,9.614662168323152
105,50,5000,68,10810,9.68177613320999
106,50,5000,68,10691,9.5835749696006
107,50,5000,68,10906,9.631212176783421
108,50,5000,68,10794,9.712154900870853
109,50,5000,68,10752,9.552083333333334
110,50,5000,68,10809,9.658155241002868
111,50,5000,68,10906,9.65569411333211
112,50,5000,68,10936,9.588514996342356
113,50,5000,68,10829,9.581678825376304
114,50,5000,68,10885,9.56389526871842
115,50,5000,68,10648,9.740326821938392
116,50,5000,68,10892,9.631380829966949
117,50,5000,68,10706,9.89407808705399
118,50,5000,68,10753,9.679438296289408
119,50,5000,68,10844,9.672537808926595
180,100,5000,34,7921,10.40222194167403
181,100,5000,34,8240,9.863470873786408
182,100,5000,34,8151,10.107594160225739
183,100,5000,34,8125,10.268061538461538
184,100,5000,34,8362,9.819301602487442
185,100,5000,34,8407,9.807303437611514
186,100,5000,34,8071,10.255358691611944
187,100,5000,34,8134,9.986107696090484
188,100,5000,34,8082,10.332838406335066
189,100,5000,34,8298,10.195589298626174
190,100,5000,34,8209,10.085028627116579
191,100,5000,34,8081,9.920554386833313
192,100,5000,34,8172,10.186245717082722
193,100,5000,34,8336,9.92454414587332
194,100,5000,34,8289,9.852816986367475
195,100,5000,34,8172,10.255017131669113
196,100,5000,34,8254,10.119941846377515
197,100,5000,34,8189,10.059470020759555
198,100,5000,34,8306,9.915121598844209
199,100,5000,34,8294,10.255003617072582
260,100,5000,68,10987,8.846181851278784
261,100,5000,68,11182,8.973528885709175
262,100,5000,68,11040,9.063134057971014
263,100,5000,68,10947,8.95039736914223
264,100,5000,68,11081,8.888638209547874
265,100,5000,68,10852,8.966918540361224
266,100,5000,68,11043,9.0036222041112
267,100,5000,68,10943,9.021931828566206
268,100,5000,68,11146,8.990310425264669
269,100,5000,68,10968,9.087071480671042
270,100,5000,68,11012,8.954594987286596
271,100,5000,68,11191,8.894558127066393
272,100,5000,68,10972,8.946591323368574
273,100,5000,68,11011,8.930160748342567
274,100,5000,68,11100,8.777477477477477
275,100,5000,68,11058,8.981009224091157
276,100,5000,68,11035,8.89415496148618
277,100,5000,68,11114,8.956721252474356
278,100,5000,68,11055,8.899140660334691
279,100,5000,68,10960,8.94698905109489
340,250,5000,34,8519,8.980866298861368
341,250,5000,34,8422,9.070410828781762
342,250,5000,34,8590,8.946915017462166
343,250,5000,34,8463,9.204301075268818
344,250,5000,34,8717,8.9901342204887
345,250,5000,34,8676,9.01313969571231
346,250,5000,34,8353,9.130731473722015
347,250,5000,34,8417,9.0329095877391
348,250,5000,34,8560,9.028738317757009
349,250,5000,34,8523,9.06183268802065
350,250,5000,34,8500,9.02670588235294
351,250,5000,34,8663,8.93962830428258
352,250,5000,34,8642,8.964475815783384
353,250,5000,34,8348,9.094992812649737
354,250,5000,34,8680,9.014055299539171
355,250,5000,34,8607,8.918670849308702
356,250,5000,34,8566,9.11919215503152
357,250,5000,34,8392,9.189346997140133
358,250,5000,34,8645,8.905725853094275
359,250,5000,34,8429,9.120298967849092
420,250,5000,68,11133,8.484685170214677
421,250,5000,68,11246,8.508002845456161
422,250,5000,68,11200,8.516517857142857
423,250,5000,68,11213,8.516097386961562
424,250,5000,68,11193,8.458411507191995
425,250,5000,68,11258,8.475039971575768
426,250,5000,68,11209,8.471852975287716
427,250,5000,68,11329,8.556094977491394
428,250,5000,68,11147,8.58365479501211
429,250,5000,68,11344,8.486248236953456
430,250,5000,68,11210,8.547011596788582
431,250,5000,68,11350,8.45251101321586
432,250,5000,68,11187,8.581478501832484
433,250,5000,68,11197,8.487451996070376
434,250,5000,68,11306,8.487794091632761
435,250,5000,68,11159,8.661708038354691
436,250,5000,68,11190,8.501251117068811
437,250,5000,68,11109,8.42614096678369
438,250,5000,68,11156,8.530745787020438
439,250,5000,68,11212,8.512932572244024
500,500,5000,34,8679,8.726696624035027
501,500,5000,34,8746,8.729933683969815
502,500,5000,34,8522,8.728467495892982
503,500,5000,34,8642,8.70354084702615
504,500,5000,34,8710,8.662571756601608
505,500,5000,34,8902,8.55504381037969
506,500,5000,34,8625,8.806608695652175
507,500,5000,34,8579,8.840890546683763
508,500,3973,34,6754,8.761326621261475
509,500,3973,34,6932,8.653346797461051
510,500,3973,34,7069,8.656528504739
511,500,3973,34,6765,8.77930524759793
512,500,5000,34,8548,8.747309312119794
513,500,5000,34,8581,8.747581866915278
514,500,5000,34,8622,8.786592437949432
515,500,5000,34,8720,8.710206422018349
516,500,5000,34,8457,8.84959205391983
517,500,5000,34,8585,8.800582411182294
518,500,5000,34,8841,8.641443275647552
519,500,5000,34,8511,8.913171190224416
580,500,5000,68,11030,8.393200362647326
581,500,5000,68,11174,8.377662430642562
582,500,5000,68,11342,8.343149356374537
583,500,5000,68,11259,8.348876454392041
584,500,5000,68,11333,8.355157504632489
585,500,5000,68,11260,8.403730017761989
586,500,5000,68,11320,8.359805653710247
587,500,5000,68,11375,8.360527472527473
588,500,5000,68,11352,8.350422832980973
589,500,5000,68,11170,8.31316025067144
590,500,5000,68,11321,8.316844801695963
591,500,5000,68,11298,8.35227473889184
592,500,5000,68,11202,8.346455990001786
593,500,5000,68,11154,8.37430518199749
594,500,5000,68,11235,8.37659101023587
595,500,5000,68,11296,8.354638810198301
596,500,5000,68,11161,8.390018815518323
597,500,5000,68,11178,8.313741277509394
598,500,5000,68,11180,8.409570661896243
599,500,5000,68,11303,8.339113509687694
