int(self),disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
60,50,5000,7493,12.135993594021086
61,50,5000,7453,12.7384945659466
62,50,5000,7499,12.374316575543405
63,50,5000,7585,12.615952537903757
64,50,5000,7407,12.130822195220738
65,50,5000,7679,12.311759343664539
66,50,5000,7739,12.281431709523194
67,50,5000,7427,12.630537229029217
68,50,5000,7381,12.752201598699363
69,50,5000,7587,12.186898642414656
70,50,5000,7509,12.731921693967239
71,50,5000,7339,12.960893854748603
72,50,5000,7733,12.09401267296004
73,50,5000,7390,12.643301759133966
74,50,5000,7506,12.61177724487077
75,50,5000,7451,12.43484096094484
76,50,5000,7537,12.258988987660873
77,50,5000,7516,12.110963278339542
78,50,5000,7251,13.069507654116673
79,50,5000,7553,12.482192506288891
140,50,5000,10579,10.435201814916343
141,50,5000,10566,10.65388983532084
142,50,5000,10860,10.354327808471455
143,50,5000,10615,10.347056052755535
144,50,5000,10639,10.351160823385657
145,50,5000,10720,10.369123134328358
146,50,5000,10714,10.328168751166698
147,50,5000,10485,10.330948974725798
148,50,5000,10427,10.652440778747483
149,50,5000,10528,10.499050151975684
150,50,5000,10501,10.281211313208265
151,50,5000,10529,10.57507835501947
152,50,5000,10579,10.341053029586918
153,50,5000,10712,10.424383868558627
154,50,5000,10633,10.48866735634346
155,50,5000,10667,10.419518140058123
156,50,5000,10648,10.77648384673178
157,50,5000,10594,10.344251463092316
158,50,5000,10649,10.336181801108085
159,50,5000,10662,10.29572312886888
220,100,5000,8304,10.229166666666666
221,100,5000,8306,10.550204671321936
222,100,5000,8150,10.410552147239263
223,100,5000,7967,10.681310405422368
224,100,5000,8302,10.268248614791617
225,100,5000,7962,10.573348404923387
226,100,5000,8296,10.146938283510126
227,100,5000,8295,10.20759493670886
228,100,5000,8036,10.337854654056745
229,100,5000,8138,10.223642172523961
230,100,5000,8030,10.227895392278954
231,100,5000,8017,10.418735187726082
232,100,5000,8169,10.505080181172726
233,100,5000,8019,10.510537473500436
234,100,5000,8355,10.106044284859365
235,100,5000,8151,10.085756348914243
236,100,5000,8059,10.15423749844894
237,100,5000,8160,10.064705882352941
238,100,5000,8013,10.32896543117434
239,100,5000,8121,10.502524319665065
300,100,5000,10818,9.357737104825292
301,100,5000,10948,9.331750091340885
302,100,5000,10987,9.375716756166378
303,100,5000,11126,9.262268560129426
304,100,5000,11026,9.264828586976238
305,100,5000,10929,9.296824961112636
306,100,5000,11005,9.230440708768741
307,100,5000,10884,9.261576626240354
308,100,5000,10871,9.389660564805446
309,100,5000,11053,9.230344702795621
310,100,5000,10960,9.391058394160584
311,100,5000,10957,9.441361686593046
312,100,5000,10830,9.357340720221607
313,100,5000,11006,9.22151553697983
314,100,5000,11021,9.228019236003993
315,100,5000,10886,9.24774940290281
316,100,5000,10908,9.265951595159516
317,100,5000,10831,9.28390730311144
318,100,5000,11090,9.130027051397656
319,100,5000,10971,9.31610609789445
380,250,5000,8569,9.243085540903255
381,250,5000,8391,9.305327136217375
382,250,5000,8506,9.189630848812604
383,250,5000,8423,9.125608453045233
384,250,5000,8711,9.154861669153943
385,250,5000,8282,9.35860903163487
386,250,5000,8539,9.01089120505914
387,250,5000,8595,9.142641070389761
388,250,5000,8411,9.311021281654975
389,250,5000,8367,9.263535317318036
390,250,5000,8390,9.112276519666269
391,250,5000,8472,9.101510859301227
392,250,5000,8418,9.077215490615348
393,250,5000,8403,9.241937403308341
394,250,5000,8572,9.20333644423705
395,250,5000,8505,9.265961199294532
396,250,5000,8656,8.924098890942698
397,250,5000,8391,9.296984864736027
398,250,5000,8534,9.125732364659012
399,250,5000,8399,9.321704964876771
460,250,5000,11078,8.592345188662213
461,250,5000,11183,8.62720200304033
462,250,5000,11149,8.553412862140103
463,250,5000,11124,8.681769147788565
464,250,5000,11067,8.659437968735881
465,250,5000,11297,8.604762326281314
466,250,5000,11001,8.734024179620034
467,250,5000,11099,8.636453734570683
468,250,5000,11041,8.635268544515895
469,250,5000,11254,8.560245246134707
470,250,5000,11056,8.611251808972504
471,250,5000,11107,8.606914558386602
472,250,5000,11130,8.640970350404313
473,250,5000,11267,8.62181592260584
474,250,5000,11186,8.585910960128732
475,250,5000,11066,8.570847641424182
476,250,5000,11286,8.57779549884813
477,250,5000,11210,8.578233719892953
478,250,5000,11267,8.62181592260584
479,250,5000,11248,8.537162162162161
540,500,5000,8589,8.826289439981371
541,500,5000,8709,8.787116775749224
542,500,5000,8729,8.765723450567075
543,500,5000,8537,8.747920815274687
544,500,5000,8549,8.715288337817288
545,500,5000,8658,8.836105336105335
546,500,5000,8472,8.758734655335221
547,500,5000,8486,8.851637991986802
548,500,5000,8600,8.873604651162792
549,500,5000,8571,8.789989499474974
550,500,5000,8679,8.731190229289089
551,500,5000,8662,8.79496652043408
552,500,5000,8699,8.73675135072997
553,500,5000,8585,8.735934769947583
554,500,5000,8780,8.730979498861048
555,500,5000,8757,8.779148110083362
556,500,5000,8759,8.784678616280397
557,500,5000,8726,8.811712124684849
558,500,5000,8569,8.849690745711285
559,500,5000,8841,8.801153715643027
620,500,5000,11385,8.38252086078173
621,500,5000,11380,8.389806678383128
622,500,5000,11175,8.393378076062639
623,500,5000,11265,8.374611628939192
624,500,5000,11349,8.362675125561724
625,500,5000,11176,8.463135289906944
626,500,5000,11311,8.390062770754133
627,500,5000,11268,8.441072062477813
