int(self),disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
40,50,5000,7459,12.85856012870358
41,50,5000,7253,13.510409485730042
42,50,5000,7414,13.225519287833828
43,50,5000,7097,13.614625898266873
44,50,5000,7306,13.527922255680263
45,50,5000,7543,13.201113615272439
46,50,5000,7215,13.538600138600138
47,50,5000,7215,13.504781704781704
48,50,5000,7463,12.772343561570414
49,50,5000,7331,13.018414950211431
50,50,5000,7303,13.302752293577981
51,50,5000,7402,13.506754931099703
52,50,5000,7157,13.906245633645382
53,50,5000,7209,13.707449022055764
54,50,5000,7236,13.431177446102819
55,50,5000,7257,13.552018740526389
56,50,5000,7369,13.420002714072465
57,50,5000,7281,13.34569427276473
58,50,5000,7366,13.090143904425739
59,50,5000,7128,13.859006734006734
120,50,5000,10529,11.235919840440687
121,50,5000,10487,11.46228664060265
122,50,5000,10336,11.070433436532507
123,50,5000,10468,10.975735575085976
124,50,5000,10429,11.084955412791254
125,50,5000,10412,11.147233960814445
126,50,5000,10263,11.437981097145084
127,50,5000,10191,11.183985869885193
128,50,5000,10446,11.208117939881294
129,50,5000,10522,10.873978331115758
130,50,5000,10446,10.95366647520582
131,50,5000,10537,11.097655879282529
132,50,5000,10481,11.042744012975861
133,50,5000,10563,10.98816624065133
134,50,5000,10409,10.926601979056585
135,50,5000,10425,11.042302158273381
136,50,5000,10409,11.215102315304064
137,50,5000,10486,11.007629219912264
138,50,5000,10581,11.079765617616482
139,50,5000,10613,11.002355601620653
200,100,5000,8151,10.469144890197521
201,100,5000,8120,10.667980295566503
202,100,5000,7880,10.847715736040609
203,100,5000,7943,10.866297368752361
204,100,5000,7736,10.950879007238884
205,100,5000,8022,10.795188232361006
206,100,5000,8025,10.677258566978193
207,100,5000,8103,10.531654942613846
208,100,5000,8124,10.627031019202363
209,100,5000,8205,10.594271785496648
210,100,5000,7921,10.757227622774902
211,100,5000,7957,10.690084202588915
212,100,5000,7956,10.827677224736048
213,100,5000,8046,10.789584886900323
214,100,5000,8133,10.631132423459977
215,100,5000,8221,10.780318696022382
216,100,5000,8025,10.756635514018692
217,100,5000,7817,10.636817193296661
218,100,5000,8110,10.765351418002465
219,100,5000,7997,10.791296736276104
280,100,5000,10804,9.641151425398
281,100,5000,10797,9.463647309437807
282,100,5000,10835,9.691832025842178
283,100,5000,10795,9.549235757295044
284,100,5000,10787,9.674515620654491
285,100,5000,10904,9.542828319882611
286,100,5000,10655,9.62815579540122
287,100,5000,10771,9.688144090613685
288,100,5000,11099,9.55221191098297
289,100,5000,10803,9.6464870869203
290,100,5000,10895,9.570078017439192
291,100,5000,10758,9.6553262688232
292,100,5000,10747,9.756583232530009
293,100,5000,10769,9.501253598291392
294,100,5000,10992,9.587518195050945
295,100,5000,10758,9.608012641754973
296,100,5000,10948,9.534983558640848
297,100,5000,10883,9.481209225397409
298,100,5000,10801,9.574854180168503
299,100,5000,10851,9.597917242650446
360,250,5000,8431,9.151820661843198
361,250,5000,8356,9.166108185734801
362,250,5000,8378,9.564096443065171
363,250,5000,8459,9.297552902234306
364,250,5000,8527,9.20452679723232
365,250,5000,8428,9.271476032273375
366,250,5000,8593,9.075759338996859
367,250,5000,8432,9.372865275142315
368,250,5000,8413,9.243789373588495
369,250,5000,8411,9.469623112590655
370,250,5000,8479,9.306993749262885
371,250,5000,8461,9.443210022455974
372,250,5000,8464,9.213137996219281
373,250,5000,8566,9.442446883025916
374,250,5000,8379,9.181047857739587
375,250,5000,8298,9.513738250180767
376,250,5000,8397,9.273430987257354
377,250,5000,8467,9.470768867367427
378,250,5000,8414,9.29225101022106
379,250,5000,8627,9.187202967427844
440,250,5000,11152,8.775914634146341
441,250,5000,11024,8.794811320754716
442,250,5000,11087,8.753314692883558
443,250,5000,11073,8.689334417050484
444,250,5000,11000,8.769
445,250,5000,11128,8.798346513299784
446,250,5000,11111,8.760957609576096
447,250,5000,11325,8.724238410596026
448,250,5000,11027,8.774644055500136
449,250,5000,11012,8.833091173265528
450,250,5000,11007,8.736803852094122
451,250,5000,11067,8.716002530044276
452,250,5000,11214,8.67513822008204
453,250,5000,10979,8.794607887785773
454,250,5000,11183,8.751855494947689
455,250,5000,11269,8.626674948975065
456,250,5000,11168,8.734509312320917
457,250,5000,11113,8.722037253666876
458,250,5000,11053,8.77164570704786
459,250,5000,10978,8.732373838586263
520,500,5000,8532,8.823019221753398
521,500,5000,8485,8.885091337654686
522,500,5000,8668,8.953622519612367
523,500,5000,8494,8.868377678361195
524,500,5000,8589,8.986960065199675
525,500,5000,8623,8.933549808651282
526,500,5000,8687,8.718660066766432
527,500,5000,8547,8.96080496080496
528,500,5000,8575,8.937492711370263
529,500,5000,8556,8.815217391304348
530,500,5000,8534,8.988868057183032
531,500,5000,8781,8.817674524541625
532,500,5000,8722,8.884888786975464
533,500,5000,8628,8.796708391284191
534,500,5000,8632,8.833758109360518
535,500,5000,8625,8.908057971014493
536,500,5000,8552,8.827408793264734
537,500,5000,8712,8.863980716253444
538,500,5000,8653,8.807003351438807
539,500,5000,8562,8.758584442887177
600,500,5000,11355,8.440774988991633
601,500,5000,11160,8.426702508960574
602,500,5000,11303,8.426081571264266
603,500,5000,11113,8.488526950418429
