int(self),disturbance_cycles,self.cycle,mean(self.residue),avg_traffic,mean(t_avgs)
60,50,5000,1.0,12749.890625,23.723620571866622
61,50,5000,1.0,12700.8125,23.569586170388433
62,50,5000,1.0,13026.53125,23.748342138962762
63,50,5000,1.0,13140.40625,24.00271157161145
64,50,5000,0.9995404411764706,12808.765625,23.88293332477093
65,50,5000,1.0,13056.96875,23.853648247984232
66,50,5000,1.0,12350.21875,23.363066964123114
67,50,5000,1.0,12615.78125,23.798891267329346
68,50,5000,1.0,12437.34375,23.787145692551917
69,50,5000,1.0,12935.359375,23.814964734457334
70,50,5000,0.9995404411764706,12480.28125,23.643255642633736
71,50,5000,1.0,12566.21875,23.71712442579683
72,50,5000,0.999234068627451,12317.78125,23.6639391015222
73,50,5000,0.9984681372549019,12638.109375,23.82753555501458
74,50,5000,1.0,12955.578125,23.786163094123445
75,50,5000,0.9993872549019608,12696.171875,23.679553171947052
76,50,5000,1.0,12673.96875,23.640349154818285
77,50,5000,1.0,13040.734375,23.820656944350414
78,50,5000,1.0,12546.984375,23.639130565335734
79,50,5000,1.0,12756.078125,23.85122459444003
140,100,5000,0.89625,16089.25,44.77832038829963
141,100,5000,0.914375,15774.53125,45.78802998839352
142,100,5000,0.9415625,15942.1875,46.004307603094034
143,100,5000,0.935625,16218.28125,46.06190697591313
144,100,5000,0.920625,16169.765625,46.18632348328139
145,100,5000,0.895625,16169.328125,45.47191056744447
146,100,5000,0.9128125,16098.96875,45.3889386038783
147,100,5000,0.884375,16120.96875,45.74815311943571
148,100,5000,0.9321875,15693.125,46.442071463989
149,100,5000,0.904375,16178.5,45.831234948920844
150,100,5000,0.9403125,15410.828125,46.001836317975624
151,100,5000,0.88375,15957.453125,45.75580780627707
152,100,5000,0.886875,16159.6875,45.836076692141376
153,100,5000,0.953125,15672.28125,46.157288198726235
154,100,5000,0.8996875,15700.359375,45.721428929057275
155,100,5000,0.91375,16790.140625,45.4677140328966
156,100,5000,0.886875,15991.28125,46.30622500008718
157,100,5000,0.9359375,15852.390625,46.07094093118204
158,100,5000,0.8890625,15836.34375,46.27831734509081
159,100,5000,0.895625,15994.96875,45.158796755415544
220,250,5000,0.49453125,20997.6875,75.22111857722888
221,250,5000,0.49296875,21018.84375,76.16647011364088
222,250,5000,0.61171875,20920.484375,76.31697467392658
223,250,5000,0.68515625,20915.125,77.39735002893737
224,250,5000,0.5890625,21511.828125,79.15365095333611
225,250,5000,0.50234375,21704.0,76.21579873317748
226,250,5000,0.44296875,21391.5625,76.12187040815977
227,250,5000,0.484375,21220.03125,76.95675898382957
228,250,5000,0.653125,21745.6875,76.59518336956509
229,250,5000,0.61015625,20671.1875,75.39137422332372
230,250,5000,0.57421875,21616.59375,73.40788621195526
231,250,5000,0.459375,21612.703125,77.54043630694291
232,250,5000,0.4765625,21434.84375,78.29537117956016
233,250,5000,0.67109375,21599.40625,75.18356896448206
234,250,5000,0.67109375,21339.28125,75.87935859089328
235,250,5000,0.5796875,21244.828125,78.8352171246242
236,250,5000,0.60625,20669.0625,77.88857883085319
237,250,5000,0.60234375,21998.78125,75.98734659987073
238,250,5000,0.66875,20667.0,74.54267447900205
239,250,5000,0.540625,20615.65625,76.68129325349305
300,500,5000,0.4078125,23395.359375,120.96374298014632
301,500,5000,0.5390625,23802.1875,126.13725903731262
302,500,5000,0.3875,24648.4375,122.18648949042408
303,500,5000,0.35,24606.203125,139.21089029251144
304,500,5000,0.6453125,23720.609375,133.24452169908628
305,500,5000,0.3765625,24161.71875,108.2170961451846
306,500,5000,0.2640625,23766.203125,143.73211131908218
307,500,5000,0.45,22888.859375,126.59098069541359
308,500,5000,0.7140625,23875.5625,138.42860201078634
309,500,5000,0.3953125,23806.828125,135.01743910279185
310,500,5000,0.3921875,23819.421875,131.23862446222867
311,500,5000,0.4,23541.1875,136.27637032657742
312,500,5000,0.4875,23863.625,145.34377673931849
313,500,5000,0.43125,24029.71875,127.70641126060622
314,500,5000,0.4421875,23841.59375,138.41671769923232
315,500,5000,0.4609375,23726.71875,122.48525459930383
316,500,5000,0.2890625,23230.609375,119.6416688381051
317,500,5000,0.525,23795.1875,136.2713967122164
318,500,5000,0.5953125,24060.5625,125.26399617857504
319,500,5000,0.49375,24429.125,144.31034829069648
