int(self),disturbance_cycles,self.cycle,mean(self.residue),avg_traffic,mean(t_avgs)
40,50,5000,0.9996936274509803,13338.46875,23.93514387715432
41,50,5000,1.0,12887.21875,23.674822208135996
42,50,5000,0.9998468137254902,12872.75,23.893711756098256
43,50,5000,1.0,13176.953125,23.83648931204156
44,50,5000,1.0,13709.4375,23.80585963659846
45,50,5000,1.0,13103.546875,23.885654336233273
46,50,5000,1.0,13216.359375,23.95556675787373
47,50,5000,1.0,13409.296875,23.81561178995021
48,50,5000,1.0,13302.40625,23.79187635942734
49,50,5000,1.0,12932.34375,23.98580077487348
50,50,5000,1.0,13552.6875,23.956123632262155
51,50,5000,1.0,13683.125,24.03439973272821
52,50,5000,1.0,13259.5,23.974062309139406
53,50,5000,1.0,13340.359375,24.01584566192499
54,50,5000,1.0,12964.578125,23.91394498552736
55,50,5000,1.0,13603.03125,23.789187217170753
56,50,5000,1.0,13204.53125,23.715019851335125
57,50,5000,1.0,12816.0625,23.80455349555508
58,50,5000,1.0,13376.1875,23.91156038669212
59,50,5000,1.0,13109.65625,23.856533456727107
120,100,5000,0.9046875,15926.25,44.77853259072036
121,100,5000,0.8665625,16912.421875,44.36080962340197
122,100,5000,0.9115625,16793.796875,44.44936010657942
123,100,5000,0.8965625,16397.4375,44.38073682796276
124,100,5000,0.9478125,16874.5625,43.69319995070686
125,100,5000,0.93875,16030.875,44.698702094114424
126,100,5000,0.866875,15882.3125,44.76059044268365
127,100,5000,0.9259375,16733.625,44.6583578032794
128,100,5000,0.8846875,16197.203125,43.95908328611751
129,100,5000,0.8809375,16496.296875,43.88014061908682
130,100,5000,0.88875,16118.46875,44.58160845760942
131,100,5000,0.9221875,16381.015625,44.59076628823029
132,100,5000,0.913125,16139.359375,45.101688961045824
133,100,5000,0.9090625,16465.25,44.61011643485278
134,100,5000,0.8684375,16150.84375,44.583286656400674
135,100,5000,0.8834375,16152.703125,44.8954967072508
136,100,5000,0.889375,15971.765625,44.32016300167936
137,100,5000,0.888125,16245.578125,44.61599129227406
138,100,5000,0.88125,16295.484375,44.93619880883021
139,100,5000,0.8828125,16690.65625,44.55916541608757
200,250,5000,0.47421875,21090.125,70.09002118067417
201,250,5000,0.71171875,20948.34375,70.10628263669048
202,250,5000,0.69375,20886.578125,73.61449628068314
203,250,5000,0.6296875,21083.796875,70.20429134445365
204,250,5000,0.33828125,20744.515625,71.29373888001889
205,250,5000,0.59296875,20965.734375,70.15325757362865
206,250,5000,0.421875,20730.609375,72.5107188981679
207,250,5000,0.5953125,20626.203125,71.88431743828436
208,250,5000,0.63984375,21487.578125,68.17253976910038
209,250,5000,0.55625,20921.015625,74.65578931836095
210,250,5000,0.53203125,20766.296875,71.81307910453664
211,250,5000,0.471875,20449.75,72.69483824094331
212,250,5000,0.5984375,21121.8125,73.75546466136973
213,250,5000,0.53671875,21296.453125,74.42573793529996
214,250,5000,0.540625,21186.15625,71.84784540047403
215,250,5000,0.7265625,20991.265625,71.75715635511482
216,250,5000,0.6140625,22310.09375,70.45733696137604
217,250,5000,0.72890625,21241.1875,72.81066365402822
218,250,5000,0.52578125,21259.484375,73.64027043081283
219,250,5000,0.60703125,20685.53125,74.06316942627714
280,500,5000,0.428125,24721.046875,111.27455275277983
281,500,5000,0.640625,23570.640625,112.34260805569812
282,500,5000,0.5546875,23804.390625,93.16274712445646
283,500,5000,0.3953125,23857.25,134.9049576699905
284,500,5000,0.4078125,24503.078125,128.06756153485742
285,500,5000,0.446875,24050.90625,123.10491139119372
286,500,5000,0.3609375,23491.75,114.92998420342516
287,500,5000,0.4390625,23926.46875,118.67432742884935
288,500,5000,0.5,23783.265625,119.12391837744379
289,500,5000,0.5515625,23833.609375,115.34272192384795
290,500,5000,0.5953125,23234.828125,130.7309390310582
291,500,5000,0.340625,24072.3125,123.42565189213285
292,500,5000,0.59375,23363.859375,124.27528908060968
293,500,5000,0.4609375,24122.21875,116.75418717278146
294,500,5000,0.45625,24234.203125,113.0536015213684
295,500,5000,0.578125,24246.78125,126.89016095530467
296,500,5000,0.39375,23464.578125,117.99165856906558
297,500,5000,0.259375,23832.8125,105.71099304543206
298,500,5000,0.4703125,24479.34375,117.82783279204564
299,500,5000,0.3984375,23832.34375,127.77564538069913
