int(self),disturbance_cycles,self.cycle,mean(self.residue),avg_traffic,mean(t_avgs)
20,50,5000,0.6983852364475203,6663.64705882353,16.744326591998284
21,50,5000,0.7087658592848904,6808.529411764706,17.062606876620436
22,50,5000,0.6874279123414072,7026.176470588235,17.203270000835545
23,50,5000,0.6689734717416378,6926.235294117647,16.764164074772445
24,50,5000,0.6603229527104961,7070.529411764706,16.970998104441975
25,50,5000,0.6972318339100345,7217.64705882353,16.759041178558167
26,50,5000,0.6199538638985006,7147.529411764706,17.012065155046955
27,50,5000,0.7035755478662055,6429.705882352941,17.370631499376735
28,50,5000,0.7133794694348328,7004.117647058823,16.469369026414753
29,50,5000,0.6603229527104961,6766.176470588235,17.121989605977795
30,50,5000,0.6718569780853518,6859.882352941177,16.82525186199122
31,50,5000,0.640715109573241,7415.058823529412,17.391186893445497
32,50,5000,0.6683967704728953,7160.35294117647,16.55085098016094
33,50,5000,0.7001153402537487,6641.235294117647,17.19995706210525
34,50,5000,0.6585928489042675,6598.588235294118,17.173025644972654
35,50,5000,0.652249134948097,7316.64705882353,16.990332415523152
36,50,5000,0.6545559400230684,7109.470588235294,17.064894014827164
37,50,5000,0.6562860438292963,7546.764705882353,16.438901284598636
38,50,5000,0.6447520184544407,6905.882352941177,16.672329838465743
39,50,5000,0.682814302191465,6789.0,17.448568646162276
100,100,5000,0.3447058823529411,6963.470588235294,27.518674618372124
101,100,5000,0.2305882352941175,8200.529411764706,25.857880951515597
102,100,5000,0.22823529411764693,8438.941176470587,25.049868975813553
103,100,5000,0.23411764705882349,8396.29411764706,26.47933235491548
104,100,5000,0.26117647058823523,8292.882352941177,24.885586184267844
105,100,5000,0.2411764705882353,7617.705882352941,26.895489200034323
106,100,5000,0.24352941176470583,8095.058823529412,25.86506727332321
107,100,5000,0.22705882352941165,8178.176470588235,26.035155690119407
108,100,5000,0.2576470588235294,8086.823529411765,27.472683872456066
109,100,5000,0.2623529411764706,7741.470588235294,26.561390329832154
110,100,5000,0.25176470588235295,8129.411764705882,26.537615156848045
111,100,5000,0.22588235294117642,8384.70588235294,25.359406545516748
112,100,5000,0.26823529411764707,8244.823529411764,25.801509969796353
113,100,5000,0.2505882352941176,7773.294117647059,26.676020718695362
114,100,5000,0.2799999999999999,8021.470588235294,26.571274562316336
115,100,5000,0.23176470588235293,8143.529411764706,26.137617699774573
116,100,5000,0.22941176470588226,8340.411764705883,25.452287246861076
117,100,5000,0.2011764705882352,8604.588235294117,26.152830652832066
118,100,5000,0.23999999999999996,7825.35294117647,26.149902390531594
119,100,5000,0.24352941176470594,8546.411764705883,27.167104823410497
180,250,5000,0.01176470588235294,9106.70588235294,49.477543502388905
181,250,5000,0.01764705882352941,8744.235294117647,42.565976940749174
182,250,5000,0.00294117647058824,9298.764705882353,38.17556444741633
183,250,5000,0.01176470588235294,8852.058823529413,39.75928308647602
184,250,5000,0.00294117647058824,9541.764705882353,42.648884791456936
185,250,5000,0.02352941176470588,8830.941176470587,53.075346454588654
186,250,5000,0.00588235294117647,9131.176470588236,41.90097636876038
187,250,5000,0.02647058823529412,9469.058823529413,42.64091856150392
188,250,5000,0.00588235294117647,9985.29411764706,37.697304278273286
189,250,5000,0.02352941176470588,9331.882352941177,46.60607524385809
190,250,5000,0.01764705882352941,8798.29411764706,40.71354515513031
191,250,5000,0.01176470588235294,9391.35294117647,40.074723237490936
192,250,5000,0.01176470588235294,9060.470588235294,38.81324014430669
193,250,5000,0.01176470588235294,9086.64705882353,38.844522222665525
194,250,5000,0.0411764705882353,9255.764705882353,42.39720622856988
195,250,5000,0.00588235294117647,9201.588235294117,41.45837654759663
196,250,5000,0.00294117647058824,9205.35294117647,42.033646665472325
197,250,5000,0.00588235294117647,9347.117647058823,38.832042502681006
198,250,5000,0.01764705882352941,8511.176470588236,38.48325379347661
199,250,5000,0.00882352941176471,9628.588235294117,40.65979861142998
260,500,5000,0.0,9044.176470588236,54.09669971592643
261,500,5000,0.0,9663.470588235294,39.771771478183275
262,500,5000,0.0,10344.764705882353,39.72275593360598
263,500,5000,0.0,9861.058823529413,43.37194294523478
264,500,5000,0.0,9578.70588235294,37.84530725454581
265,500,5000,0.0,10040.411764705883,39.27853319432809
266,500,5000,0.0,9466.882352941177,42.26084617384012
267,500,5000,0.0,9688.176470588236,49.69865842151766
268,500,5000,0.0,9272.058823529413,49.82487458321587
269,500,5000,0.0,9558.29411764706,38.788165518945384
270,500,5000,0.0,9564.764705882353,39.39145637783725
271,500,5000,0.0,9741.35294117647,42.977123040828715
272,500,5000,0.0,9207.235294117647,54.47637308144901
273,500,5000,0.0,9594.941176470587,46.7536356473994
274,500,5000,0.0,9810.529411764706,43.4757982089924
275,500,5000,0.00588235294117647,9517.764705882353,47.86576656115663
276,500,5000,0.0,9051.29411764706,38.813436089321655
277,500,5000,0.0,9129.235294117647,40.667601356116684
278,500,5000,0.0,9530.529411764706,36.10917412308028
279,500,5000,0.0,8822.29411764706,46.65052461636377
