int(self),disturbance_cycles,self.cycle,mean(self.residue),avg_traffic,mean(t_avgs)
0,50,5000,0.9901960784313726,31.426470588235293,12.493512304250551
1,50,5000,0.9411764705882353,31.426470588235293,13.27357237715805
2,50,5000,0.9803921568627451,31.426470588235293,12.98097708603544
3,50,5000,0.9607843137254902,31.426470588235293,14.218196140212656
4,50,5000,0.9803921568627451,31.426470588235293,12.076465201465217
5,50,5000,0.9901960784313726,31.426470588235293,12.081715575620784
6,50,5000,0.9607843137254902,31.426470588235293,12.141432456935613
7,50,5000,0.9705882352941176,31.426470588235293,13.673510466988743
8,50,5000,0.9705882352941176,31.426470588235293,12.318414918414906
9,50,5000,0.9607843137254902,31.426470588235293,13.02570694087402
10,50,5000,0.9607843137254902,31.426470588235293,12.406691800188495
11,50,5000,0.9901960784313726,31.426470588235293,13.671132238547983
12,50,5000,0.9901960784313726,31.426470588235293,12.647450110864732
13,50,5000,0.9901960784313726,31.426470588235293,13.678985818650629
14,50,5000,0.9803921568627451,31.426470588235293,13.838315789473677
15,50,5000,0.9705882352941176,31.426470588235293,13.33127317676144
16,50,5000,0.9803921568627451,31.426470588235293,12.498578199052156
17,50,5000,0.9803921568627451,31.426470588235293,13.707095709570945
18,50,5000,0.9705882352941176,31.426470588235293,13.193899782135077
19,50,5000,0.9803921568627451,31.426470588235293,11.323350491343007
20,100,5000,0.84,24.323529411764707,32.12418687167357
21,100,5000,0.9,24.323529411764707,30.350865512649776
22,100,5000,0.84,24.323529411764707,34.20844189682128
23,100,5000,0.88,24.323529411764707,34.49474847982311
24,100,5000,0.82,24.323529411764707,31.6755102040816
25,100,5000,0.84,24.323529411764707,29.92956852791876
26,100,5000,0.84,24.323529411764707,31.661484098939983
27,100,5000,0.9,24.323529411764707,33.927822331893864
28,100,5000,0.88,24.323529411764707,30.33502538071069
29,100,5000,0.86,24.323529411764707,32.03539292141569
30,100,5000,0.82,24.323529411764707,31.54654442877291
31,100,5000,0.82,24.323529411764707,34.630239520958135
32,100,5000,0.88,24.323529411764707,31.574938574938603
33,100,5000,0.76,24.323529411764707,32.853319057815895
34,100,5000,0.86,24.323529411764707,34.64814814814811
35,100,5000,0.84,24.323529411764707,30.076359193646965
36,100,5000,0.86,24.323529411764707,32.672268907563
37,100,5000,0.82,24.323529411764707,30.96510862409485
38,100,5000,0.72,24.323529411764707,27.562878787878827
39,100,5000,0.84,24.323529411764707,31.975211608222494
40,250,5000,0.55,19.41176470588235,111.07591240875905
41,250,5000,0.4,19.41176470588235,95.81576253838283
42,250,5000,0.55,19.41176470588235,98.11742133537979
43,250,5000,0.5,19.41176470588235,92.44564152791375
44,250,5000,0.4,19.41176470588235,110.56837098692019
45,250,5000,0.8,19.41176470588235,94.05093833780148
46,250,5000,0.7,19.41176470588235,103.03173483779962
47,250,5000,0.5,19.41176470588235,105.42227204783265
48,250,5000,0.65,19.41176470588235,103.99847328244257
49,250,5000,0.55,19.41176470588235,105.31930527722119
50,250,5000,0.55,19.41176470588235,87.98593073593081
51,250,5000,0.65,19.41176470588235,99.9816384180792
52,250,5000,0.55,19.41176470588235,90.15078534031424
53,250,5000,0.6,19.41176470588235,94.95435333896874
54,250,5000,0.4,19.41176470588235,105.01311953352777
55,250,5000,0.5,19.41176470588235,106.6300533943556
56,250,5000,0.6,19.41176470588235,94.60492700729924
57,250,5000,0.6,19.41176470588235,99.67590454195552
58,250,5000,0.55,19.41176470588235,110.96334134615402
59,250,5000,0.4,19.41176470588235,92.57348484848474
60,500,5000,0.3,29.926470588235293,232.9036243822079
61,500,5000,0.3,29.926470588235293,248.8612334801764
62,500,5000,0.5,29.926470588235293,220.5560420315234
63,500,5000,0.4,29.926470588235293,232.5760266370703
64,500,5000,0.7,29.926470588235293,206.7456647398845
65,500,5000,0.6,29.926470588235293,233.73165726013357
66,500,5000,0.3,29.926470588235293,232.39811172305247
67,500,5000,0.5,29.926470588235293,225.09377664109147
68,500,5000,0.4,29.926470588235293,226.4452614379083
69,500,5000,0.7,29.926470588235293,226.465986394558
70,500,5000,0.4,29.926470588235293,218.01576763485497
71,500,5000,0.4,29.926470588235293,227.5084639498435
72,500,5000,0.6,29.926470588235293,229.60340136054404
73,500,5000,0.6,29.926470588235293,197.14380825565925
74,500,5000,0.4,29.926470588235293,205.50585175552638
75,500,5000,0.7,29.926470588235293,232.90208783297348
76,500,5000,0.5,29.926470588235293,217.11484290357512
77,500,5000,0.1,29.926470588235293,217.44396551724108
78,500,5000,0.4,29.926470588235293,249.0156361051885
79,500,5000,0.4,29.926470588235293,245.89385749385795
