int(self),disturbance_cycles,self.cycle,mean(self.residue),avg_traffic,mean(t_avgs)
0,50,5000,0.30392156862745096,301.0,5.285461341727326
1,50,5000,0.3033448673587082,302.0,4.818421934535657
2,50,5000,0.4411764705882353,297.0,5.061583277378749
3,50,5000,0.39215686274509803,293.0,4.988072882903605
4,50,5000,0.35294117647058826,305.0,4.806659922958239
5,50,5000,0.2837370242214533,299.0,4.224918099918101
6,50,5000,0.43137254901960786,303.0,5.1528820843107415
7,50,5000,0.4117647058823529,307.0,5.395421836690878
8,50,5000,0.3333333333333333,292.0,4.79821936172154
9,50,5000,0.30392156862745096,291.0,4.860981772496613
10,50,5000,0.31314878892733566,284.0,4.6787321983463235
11,50,5000,0.27450980392156865,295.0,5.237062481264423
12,50,5000,0.38235294117647056,289.0,5.887876639738344
13,50,5000,0.44059976931949246,294.0,5.3252317026231495
14,50,5000,0.3235294117647059,298.0,4.8875814732672715
15,50,5000,0.34256055363321797,280.0,4.8670966815420025
16,50,5000,0.31314878892733566,291.0,4.809933533131663
17,50,5000,0.25432525951557095,308.0,4.197389002225404
18,50,5000,0.3419838523644752,282.0,4.43673156893298
19,50,5000,0.3431372549019608,292.0,5.9338565720633465
20,100,5000,0.12,143.0,7.209056284384258
21,100,5000,0.02,129.0,8.094010537285783
22,100,5000,0.06,149.0,6.874467835383746
23,100,5000,0.02,140.0,7.513445378151261
24,100,5000,0.05882352941176471,143.0,7.368682684341342
25,100,5000,0.02,131.0,6.861628268453593
26,100,5000,0.02,150.0,5.261960784313725
27,100,5000,0.02,156.0,5.491290809127622
28,100,5000,0.04,151.0,6.12354671598369
29,100,5000,0.07882352941176471,144.0,8.00771636240703
30,100,5000,0.02,151.0,5.570315543435917
31,100,5000,0.02,150.0,5.998402100566254
32,100,5000,0.02,159.0,8.40961753700764
33,100,5000,0.04,161.0,6.971348648154914
34,100,5000,0.04,153.0,7.004690094929572
35,100,5000,0.04,153.0,5.742373884538334
36,100,5000,0.02,150.0,6.561971312014737
37,100,5000,0.04,158.0,5.77004851767362
38,100,5000,0.04,145.0,7.970210727969352
39,100,5000,0.0,150.0,6.822422402663223
40,250,5000,0.0,65.0,6.105362978524743
41,250,5000,0.0,70.0,5.645731336012667
42,250,5000,0.0,62.0,8.212803683080846
43,250,5000,0.0,68.0,7.627162629757785
44,250,5000,0.0,59.0,8.430707876370889
45,250,5000,0.0,63.0,6.551775548929249
46,250,5000,0.0,67.0,5.963125548726956
47,250,5000,0.0,58.0,8.054784527241024
48,250,5000,0.0,66.0,5.382398120538539
49,250,5000,0.0,57.0,8.219814241486072
50,250,5000,0.0,57.0,8.867905056759543
51,250,5000,0.0,61.0,9.25953069752491
52,250,5000,0.0,64.0,9.676003734827262
53,250,5000,0.0,67.0,4.404328624258387
54,250,5000,0.0,69.0,7.503713231456866
55,250,5000,0.0,66.0,8.938626079802548
56,250,5000,0.0,63.0,7.39065088400952
57,250,5000,0.0,63.0,4.427547363031234
58,250,5000,0.0,58.0,9.669228853065727
59,250,5000,0.0,66.0,7.158316193610311
60,500,5000,0.0,37.0,11.0818759936407
61,500,5000,0.0,35.0,8.775926841324765
62,500,5000,0.0,32.0,10.199418880455406
63,500,5000,0.0,26.0,14.33257918552036
64,500,5000,0.0,31.0,11.702087286527515
65,500,5000,0.0,36.0,11.378057889822598
66,500,5000,0.0,31.0,10.988614800759013
67,500,5000,0.0,37.0,10.718247659424131
68,500,5000,0.0,34.0,4.581831119544591
69,500,5000,0.0,37.0,12.3147853736089
70,500,5000,0.0,34.0,7.608996539792391
71,500,5000,0.0,30.0,11.456186612576063
72,500,5000,0.0,31.0,8.383301707779887
73,500,5000,0.0,38.0,6.288994877230172
74,500,5000,0.0,34.0,6.916745307748767
75,500,5000,0.0,29.0,11.145392639814544
76,500,5000,0.0,32.0,13.767789373814045
77,500,5000,0.0,37.0,7.370605900017663
78,500,5000,0.0,28.0,7.34399315281668
79,500,5000,0.0,28.0,8.274587612822906
