int(self),disturbance_cycles,self.cycle,mean(self.residue),avg_traffic,mean(t_avgs)
0,50,5000,1.0,0.0,20.29930999220461
1,50,5000,1.0,0.0,19.79510969199281
2,50,5000,1.0,0.0,19.917418143289986
3,50,5000,1.0,0.0,20.017507538996103
4,50,5000,1.0,0.0,19.815663962493037
5,50,5000,1.0,0.0,20.1435300072923
6,50,5000,1.0,0.0,19.904121646745363
7,50,5000,1.0,0.0,20.062778960623525
8,50,5000,1.0,0.0,20.13071936200651
9,50,5000,1.0,0.0,19.499995725073852
10,50,5000,1.0,0.0,20.03383514276389
11,50,5000,1.0,0.0,19.616999788118065
12,50,5000,1.0,0.0,19.861925281569736
13,50,5000,1.0,0.0,19.86648308372436
14,50,5000,1.0,0.0,19.77947443589679
15,50,5000,1.0,0.0,19.975242298014724
16,50,5000,1.0,0.0,19.673140632484447
17,50,5000,1.0,0.0,19.874479160484768
18,50,5000,1.0,0.0,20.120280150351185
19,50,5000,1.0,0.0,20.092575711040208
20,100,5000,1.0,0.0,41.92645949735406
21,100,5000,1.0,0.0,41.64730195085211
22,100,5000,1.0,0.0,40.76082675203937
23,100,5000,1.0,0.0,40.89125988662292
24,100,5000,1.0,0.0,41.71259056134144
25,100,5000,1.0,0.0,41.32263453759818
26,100,5000,1.0,0.0,41.24833026013956
27,100,5000,1.0,0.0,40.68776573002093
28,100,5000,1.0,0.0,41.110029695172095
29,100,5000,1.0,0.0,41.438749227659365
30,100,5000,1.0,0.0,40.81221611159343
31,100,5000,1.0,0.0,41.04833608317233
32,100,5000,1.0,0.0,40.88546103583408
33,100,5000,1.0,0.0,40.4182593567689
34,100,5000,1.0,0.0,41.78546907116844
35,100,5000,1.0,0.0,41.68025874448678
36,100,5000,1.0,0.0,41.33111696491853
37,100,5000,1.0,0.0,40.88989442559844
38,100,5000,1.0,0.0,40.96388827052713
39,100,5000,1.0,0.0,40.97829760241825
40,250,5000,1.0,0.0,106.24483639575149
41,250,5000,1.0,0.0,106.38697813326877
42,250,5000,1.0,0.0,105.48059306167683
43,250,5000,1.0,0.0,106.6707141531163
44,250,5000,1.0,0.0,103.39823363048026
45,250,5000,1.0,0.0,105.18061707421154
46,250,5000,1.0,0.0,105.42769673877169
47,250,5000,1.0,0.0,105.05626088903395
48,250,5000,1.0,0.0,106.61901752918939
49,250,5000,1.0,0.0,105.49268624839861
50,250,5000,1.0,0.0,105.72143559264879
51,250,5000,1.0,0.0,104.42246128554167
52,250,5000,1.0,0.0,105.02838236021822
53,250,5000,1.0,0.0,105.22221475932511
54,250,5000,1.0,0.0,104.82900791342446
55,250,5000,1.0,0.0,104.9023713888184
56,250,5000,1.0,0.0,103.28500345546655
57,250,5000,1.0,0.0,104.06961253819796
58,250,5000,1.0,0.0,105.07021674954386
59,250,5000,1.0,0.0,104.82597496157209
60,500,5000,1.0,0.0,209.29793973234166
61,500,5000,1.0,0.0,209.84623347407327
62,500,5000,1.0,0.0,210.5538334024443
63,500,5000,1.0,0.0,207.26739732580108
64,500,5000,1.0,0.0,204.73445515564677
65,500,5000,1.0,0.0,209.18149042133552
66,500,5000,1.0,0.0,213.24170427158717
67,500,5000,1.0,0.0,213.56748892549132
68,500,5000,1.0,0.0,209.31211367300406
69,500,5000,1.0,0.0,214.12045049159153
70,500,5000,1.0,0.0,213.52243965308128
71,500,5000,1.0,0.0,216.65518021788958
72,500,5000,1.0,0.0,212.75462507457743
73,500,5000,1.0,0.0,206.88466758722703
74,500,5000,1.0,0.0,208.1623600072006
75,500,5000,1.0,0.0,211.0061078636395
76,500,5000,1.0,0.0,210.12719021846362
77,500,5000,1.0,0.0,210.4433484647168
78,500,5000,1.0,0.0,211.2208768169961
79,500,5000,1.0,0.0,210.18285554346295
