int(self),disturbance_cycles,self.cycle,mean(self.residue),avg_traffic,mean(t_avgs)
20,50,5000,1.0,8994.375,23.459045516709207
21,50,5000,1.0,8958.578125,23.52421397482221
22,50,5000,1.0,8873.0625,23.501955961826575
23,50,5000,1.0,9058.890625,23.948410442899515
24,50,5000,1.0,9214.4375,23.55229875835219
25,50,5000,1.0,9402.484375,23.87450526676371
26,50,5000,1.0,9122.734375,23.632594287461195
27,50,5000,1.0,9634.65625,23.672907719425652
28,50,5000,1.0,9317.921875,23.736093170659164
29,50,5000,1.0,9364.75,23.916526506930484
30,50,5000,1.0,8999.359375,23.690634155396015
31,50,5000,1.0,9440.5,23.662577158295363
32,50,5000,1.0,8966.390625,23.70710855416194
33,50,5000,1.0,9026.375,23.99166456498236
34,50,5000,0.9998468137254902,9418.25,23.690067745566775
35,50,5000,1.0,9409.546875,23.81514457454913
36,50,5000,1.0,9173.0625,23.852619592427025
37,50,5000,1.0,9349.453125,23.880078923377088
38,50,5000,1.0,9423.15625,23.667317786473696
39,50,5000,1.0,9173.09375,23.90391560627782
60,100,5000,0.9440625,8251.5625,46.02813489847676
61,100,5000,0.9728125,8229.28125,46.56221046873247
62,100,5000,0.9659375,8202.015625,46.373165221760814
63,100,5000,0.9375,7747.3125,46.217151656842134
64,100,5000,0.985,7778.21875,46.64787645149717
65,100,5000,0.9609375,7865.390625,46.38906896213246
66,100,5000,0.9521875,8042.890625,46.69114734689218
67,100,5000,0.9578125,8185.4375,46.062760169329565
68,100,5000,0.9434375,8144.9375,46.56334234675186
69,100,5000,0.9409375,8132.96875,46.03940837716389
70,100,5000,0.9603125,7799.390625,46.527587339409536
71,100,5000,0.9609375,7846.859375,46.66493430970537
72,100,5000,0.9734375,7932.0625,46.61477134032305
73,100,5000,0.9634375,8153.75,46.20027088343664
74,100,5000,0.9265625,8100.359375,46.48309417709613
75,100,5000,0.9528125,8255.09375,46.6265310638364
76,100,5000,0.9646875,8108.375,46.00480051102168
77,100,5000,0.948125,8105.953125,46.23784742458989
78,100,5000,0.963125,8030.921875,46.366258864312336
79,100,5000,0.953125,7818.578125,46.79372626194023
100,250,5000,0.61015625,5111.609375,94.44028590198069
101,250,5000,0.61875,4893.125,94.67810242083674
102,250,5000,0.76484375,5104.25,96.59721645568708
103,250,5000,0.70078125,4927.03125,93.26379614722228
104,250,5000,0.66484375,5019.453125,93.34144583284659
105,250,5000,0.64609375,5109.484375,95.19686231268768
106,250,5000,0.77265625,4951.734375,97.47321575066957
107,250,5000,0.6953125,5025.0625,91.72707828451972
108,250,5000,0.61484375,4988.9375,92.71115712515747
109,250,5000,0.684375,4797.5,100.08065034932025
110,250,5000,0.69140625,4961.609375,94.02054749870852
111,250,5000,0.621875,5011.421875,93.92566731858668
112,250,5000,0.72421875,4877.546875,94.99009047834586
113,250,5000,0.75625,5119.328125,92.51703565588134
114,250,5000,0.78515625,4912.375,94.87559831206575
115,250,5000,0.71953125,4870.296875,96.75477340249694
116,250,5000,0.66640625,4910.6875,91.89481190746838
117,250,5000,0.52890625,4836.734375,92.2793257283481
118,250,5000,0.73125,4932.125,89.89736653450097
119,250,5000,0.7890625,4961.0,95.81314558327966
140,500,5000,0.653125,3283.25,157.99325932343933
141,500,5000,0.603125,3265.0,165.12536538754196
142,500,5000,0.578125,3301.8125,176.19389082607233
143,500,5000,0.6109375,3132.03125,165.5388428480113
144,500,5000,0.71875,3344.375,165.70440988393804
145,500,5000,0.55625,3174.765625,174.90798671942892
146,500,5000,0.6203125,3363.9375,171.26771603543176
147,500,5000,0.6703125,3221.671875,176.10637358042047
148,500,5000,0.459375,3143.34375,163.78615650348573
149,500,5000,0.559375,3615.65625,174.44226252282385
150,500,5000,0.60625,3536.09375,176.4006254470432
151,500,5000,0.48125,3429.671875,167.45393678464387
152,500,5000,0.703125,3177.375,156.76884882634968
153,500,5000,0.63125,3145.921875,167.35478036422225
154,500,5000,0.5703125,3272.84375,177.02012822121526
155,500,5000,0.878125,3160.875,149.8283854571345
156,500,5000,0.3890625,3654.59375,177.68930243449026
157,500,5000,0.575,3533.578125,179.92386193451821
158,500,5000,0.6390625,3610.25,175.79343212745388
159,500,5000,0.6546875,3187.0,169.55983132451246
