int(self),disturbance_cycles,self.cycle,mean(self.residue),avg_traffic,mean(t_avgs)
0,50,1000,0.5823529411764706,952.7058823529412,17.519685703712508
1,50,1000,0.5588235294117647,952.7058823529412,18.386379227826637
2,50,1000,0.5852941176470587,952.7058823529412,17.593464712661373
3,100,1000,0.2705882352941176,1133.0,29.98204808068475
4,100,1000,0.19411764705882356,1133.0,26.584941221512842
5,100,1000,0.2352941176470588,1133.0,27.298292399677948
6,250,1000,0.05882352941176471,1176.8823529411766,49.734734637521306
7,250,1000,0.05882352941176471,1176.8823529411766,51.42181725629592
8,250,1000,0.01470588235294118,1176.8823529411766,56.30555102520895
9,500,1000,0.0,1216.9411764705883,99.41315081976848
10,500,1000,0.0,1216.9411764705883,59.8761584100252
11,500,1000,0.0,1216.9411764705883,84.76932493124947
