int(self),disturbance_cycles,self.cycle,mean(self.residue),avg_traffic,mean(t_avgs)
0,50,5000,0.9994232987312571,0.0,19.661642960043967
1,50,5000,0.9988465974625144,0.0,19.534076427049175
2,50,5000,0.9988465974625144,0.0,19.442236108230976
3,50,5000,1.0,0.0,19.692246113659035
4,50,5000,1.0,0.0,20.33267284077845
5,50,5000,0.9994232987312571,0.0,19.17062838452188
6,50,5000,0.9994232987312571,0.0,19.671406597600864
7,50,5000,0.9994232987312571,0.0,20.225075372607584
8,50,5000,0.9988465974625144,0.0,19.772527979120728
9,50,5000,0.9988465974625144,0.0,19.30878374334614
10,50,5000,0.9994232987312571,0.0,19.414205556335304
11,50,5000,0.9994232987312571,0.0,20.113106929821896
12,50,5000,0.9994232987312571,0.0,20.880047553590213
13,50,5000,1.0,0.0,19.513615963091258
14,50,5000,0.9994232987312571,0.0,19.56312356592308
15,50,5000,1.0,0.0,19.462429673190883
16,50,5000,1.0,0.0,19.636080062831798
17,50,5000,0.9988465974625144,0.0,19.637383576720715
18,50,5000,0.9994232987312571,0.0,20.3240195000122
19,50,5000,0.9988465974625144,0.0,19.15345852626362
20,100,5000,0.9917647058823529,0.0,40.996868311185075
21,100,5000,0.9894117647058822,0.0,39.49990321257582
22,100,5000,0.9952941176470589,0.0,39.85194493616364
23,100,5000,0.9929411764705881,0.0,38.478538597831054
24,100,5000,0.9894117647058824,0.0,39.907031494137726
25,100,5000,0.988235294117647,0.0,37.35636007718375
26,100,5000,0.9929411764705882,0.0,38.298511491132544
27,100,5000,0.9905882352941175,0.0,41.2750892612979
28,100,5000,0.9952941176470589,0.0,40.83567063132226
29,100,5000,0.9941176470588233,0.0,41.92234442629681
30,100,5000,0.9952941176470587,0.0,41.597229923109744
31,100,5000,0.9988235294117647,0.0,40.014269541844826
32,100,5000,0.9905882352941177,0.0,39.23973643425915
33,100,5000,0.9941176470588234,0.0,41.476859983948664
34,100,5000,0.988235294117647,0.0,37.93836734518216
35,100,5000,0.9905882352941174,0.0,40.61342834021451
36,100,5000,0.9952941176470589,0.0,39.2327815647419
37,100,5000,0.9964705882352941,0.0,38.98619047842242
38,100,5000,0.988235294117647,0.0,40.2597675103841
39,100,5000,0.9964705882352941,0.0,40.51477319014789
40,250,5000,0.9529411764705884,0.0,95.29520424039731
41,250,5000,0.9176470588235295,0.0,91.91047434308936
42,250,5000,0.9088235294117648,0.0,94.16998690466315
43,250,5000,0.8882352941176471,0.0,94.06940811038469
44,250,5000,0.9470588235294117,0.0,96.31149221556714
45,250,5000,0.9058823529411766,0.0,93.84455465682284
46,250,5000,0.9264705882352942,0.0,88.92080479918866
47,250,5000,0.9264705882352942,0.0,96.81663082504778
48,250,5000,0.911764705882353,0.0,93.50600462573145
49,250,5000,0.9411764705882355,0.0,99.98614264671845
50,250,5000,0.8941176470588236,0.0,93.13769366208004
51,250,5000,0.9176470588235295,0.0,90.87152284520113
52,250,5000,0.9529411764705884,0.0,95.82007250962626
53,250,5000,0.9323529411764706,0.0,91.87318938155312
54,250,5000,0.9205882352941177,0.0,94.27368174481136
55,250,5000,0.9029411764705884,0.0,95.62235957626915
56,250,5000,0.9176470588235295,0.0,89.80740743735691
57,250,5000,0.9176470588235295,0.0,95.78803203860303
58,250,5000,0.9294117647058824,0.0,99.56076514364146
59,250,5000,0.911764705882353,0.0,91.03734309831441
60,500,5000,0.7176470588235293,0.0,165.95671044516385
61,500,5000,0.776470588235294,0.0,165.7411827208085
62,500,5000,0.8,0.0,161.90915285346705
63,500,5000,0.7352941176470589,0.0,156.39902596703868
64,500,5000,0.723529411764706,0.0,165.73805772185568
65,500,5000,0.7647058823529411,0.0,166.67860793890208
66,500,5000,0.6529411764705881,0.0,158.30092789878466
67,500,5000,0.7117647058823529,0.0,154.95549727688055
68,500,5000,0.723529411764706,0.0,163.80521512271602
69,500,5000,0.7294117647058823,0.0,175.797869765179
70,500,5000,0.6823529411764706,0.0,167.0487148556686
71,500,5000,0.7294117647058822,0.0,160.40639713175213
72,500,5000,0.6588235294117647,0.0,166.42652049143942
73,500,5000,0.7058823529411764,0.0,161.30941813883408
74,500,5000,0.8058823529411765,0.0,167.97076278416182
75,500,5000,0.6411764705882353,0.0,154.35667970592996
76,500,5000,0.7705882352941176,0.0,163.7876751688187
77,500,5000,0.6941176470588235,0.0,160.34286425773456
78,500,5000,0.6647058823529413,0.0,164.8520758194409
79,500,5000,0.7117647058823529,0.0,162.75370663484475
0,50,2500,0.0,0.0,8.68632478632479
1,50,2500,0.0,0.0,8.866176470588236
2,50,2500,0.0,0.0,7.68608776844071
3,50,2500,0.0,0.0,7.95836989807578
0,50,2500,0.0,9.176470588235293,5.04827264239029
1,50,2500,0.0,9.176470588235293,5.838540999763911
2,50,2500,0.0,9.176470588235293,4.9488625753331625
3,50,2500,0.0,9.176470588235293,5.057458717752835
0,50,2500,0.0,9.176470588235293,5.5
1,50,2500,0.0,9.176470588235293,4.56390977443609
2,50,2500,0.0,9.176470588235293,4.889655172413795
