int(self),disturbance_cycles,self.cycle,mean(self.residue),avg_traffic,mean(t_avgs)
0,50,1000,0.8911764705882351,146.05882352941177,20.06845841739093
1,50,1000,0.8735294117647058,146.05882352941177,18.560820157703553
2,50,1000,0.9088235294117648,146.05882352941177,20.176602259603563
3,100,1000,0.7,87.76470588235294,36.986924315745085
4,100,1000,0.6588235294117647,87.76470588235294,38.77500534404971
5,100,1000,0.8823529411764707,87.76470588235294,39.348227202311776
6,250,1000,0.6323529411764707,64.58823529411765,82.22045922970571
7,250,1000,0.5,64.58823529411765,93.48375519158617
8,250,1000,0.5588235294117646,64.58823529411765,97.51462524016249
9,500,1000,0.4411764705882353,51.94117647058823,184.0521271164437
10,500,1000,0.2647058823529412,51.94117647058823,181.45949992570155
11,500,1000,0.47058823529411764,51.94117647058823,173.43174201403124
