int(self),disturbance_cycles,self.cycle,mean(self.residue),avg_traffic,mean(t_avgs)
60,50,5000,0.7254901960784313,5005.176470588235,18.33725812483828
61,50,5000,0.671280276816609,5005.176470588235,17.553003219316814
62,50,5000,0.7053056516724336,5005.176470588235,17.2034264966132
63,50,5000,0.6908881199538636,5005.176470588235,16.730805396338003
64,50,5000,0.6787773933102651,5005.176470588235,16.914032021683035
65,50,5000,0.6724336793540946,5005.176470588235,17.681011229045545
66,50,5000,0.6920415224913496,5005.176470588235,17.65801768991942
67,50,5000,0.6793540945790081,5005.176470588235,17.575237275798923
68,50,5000,0.6782006920415226,5005.176470588235,18.142548031840153
69,50,5000,0.660322952710496,5005.176470588235,17.36309876181761
70,50,5000,0.7341407151095733,5005.176470588235,17.7626113927866
71,50,5000,0.7035755478662051,5005.176470588235,18.340769997271742
72,50,5000,0.6805074971164938,5005.176470588235,17.67055750290414
73,50,5000,0.7128027681660897,5005.176470588235,17.940792110925393
74,50,5000,0.710495963091119,5005.176470588235,18.1653107207218
75,50,5000,0.7099192618223761,5005.176470588235,17.74155382380763
76,50,5000,0.6949250288350634,5005.176470588235,17.722043302341106
77,50,5000,0.704152249134948,5005.176470588235,17.640858396532703
78,50,5000,0.724336793540946,5005.176470588235,17.826295306789778
79,50,5000,0.6943483275663206,5005.176470588235,17.86933408281937
140,100,5000,0.24823529411764692,6054.058823529412,27.402826865217264
141,100,5000,0.21058823529411758,6054.058823529412,25.15198898398001
142,100,5000,0.21294117647058827,6054.058823529412,26.006561411679815
143,100,5000,0.24941176470588233,6054.058823529412,25.998782085269536
144,100,5000,0.24470588235294116,6054.058823529412,28.13690354703256
145,100,5000,0.27058823529411763,6054.058823529412,27.491479984692493
146,100,5000,0.21882352941176464,6054.058823529412,25.216372232681444
147,100,5000,0.27176470588235285,6054.058823529412,26.93749728962643
148,100,5000,0.25411764705882345,6054.058823529412,26.468208271632534
149,100,5000,0.23058823529411765,6054.058823529412,26.082648618502986
150,100,5000,0.23529411764705876,6054.058823529412,26.35030219103592
151,100,5000,0.24,6054.058823529412,28.827165340441834
152,100,5000,0.23999999999999996,6054.058823529412,27.559706575712468
153,100,5000,0.24588235294117644,6054.058823529412,28.543729441446366
154,100,5000,0.19529411764705873,6054.058823529412,25.739903799483557
155,100,5000,0.2635294117647058,6054.058823529412,27.03192566138143
156,100,5000,0.23411764705882349,6054.058823529412,27.836106776993685
157,100,5000,0.22352941176470584,6054.058823529412,25.36722572379626
158,100,5000,0.2870588235294117,6054.058823529412,27.814321687968732
159,100,5000,0.24235294117647044,6054.058823529412,27.864414201094
220,250,5000,0.01176470588235294,7054.588235294118,43.44265322829136
221,250,5000,0.02058823529411765,7054.588235294118,46.31842992571715
222,250,5000,0.01470588235294118,7054.588235294118,40.79927065231323
223,250,5000,0.00588235294117647,7054.588235294118,40.98583016989951
224,250,5000,0.01176470588235294,7054.588235294118,38.37020698889213
225,250,5000,0.02352941176470588,7054.588235294118,44.586437618044066
226,250,5000,0.00882352941176471,7054.588235294118,43.98997160965005
227,250,5000,0.02352941176470588,7054.588235294118,39.2348846444769
228,250,5000,0.00588235294117647,7054.588235294118,40.31785494846828
229,250,5000,0.01764705882352941,7054.588235294118,42.65640346020359
230,250,5000,0.02058823529411765,7054.588235294118,40.940665597986644
231,250,5000,0.00882352941176471,7054.588235294118,39.3411670332461
232,250,5000,0.00294117647058824,7054.588235294118,43.11792412831784
233,250,5000,0.00588235294117647,7054.588235294118,41.589532399231615
234,250,5000,0.01764705882352941,7054.588235294118,39.96767377870796
235,250,5000,0.00882352941176471,7054.588235294118,37.523024174673324
236,250,5000,0.02058823529411765,7054.588235294118,44.94453242415518
237,250,5000,0.00588235294117647,7054.588235294118,39.76168931987857
238,250,5000,0.03235294117647059,7054.588235294118,40.578849999184214
239,250,5000,0.01176470588235294,7054.588235294118,41.78671356163143
300,500,5000,0.0,7165.176470588235,48.661617742317944
301,500,5000,0.0,7165.176470588235,53.86944458116123
302,500,5000,0.0,7165.176470588235,50.02560153651999
303,500,5000,0.0,7165.176470588235,40.91061705982803
304,500,5000,0.0,7165.176470588235,43.396822800485936
305,500,5000,0.0,7165.176470588235,54.7490380021479
306,500,5000,0.0,7165.176470588235,45.67145496564365
307,500,5000,0.0,7165.176470588235,42.38098292818035
308,500,5000,0.00588235294117647,7165.176470588235,50.20938713629035
309,500,5000,0.0,7165.176470588235,44.92276422201573
310,500,5000,0.0,7165.176470588235,44.183408869190814
311,500,5000,0.0,7165.176470588235,58.06166507899243
312,500,5000,0.0,7165.176470588235,59.140607593039036
313,500,5000,0.0,7165.176470588235,53.73842855366337
314,500,5000,0.0,7165.176470588235,55.5222874774318
315,500,5000,0.0,7165.176470588235,48.955856018420775
316,500,5000,0.0,7165.176470588235,57.81776388643926
317,500,5000,0.0,7165.176470588235,43.450127296061055
318,500,5000,0.0,7165.176470588235,48.26094356065258
319,500,5000,0.0,7165.176470588235,50.98476539877027
