int(self),disturbance_cycles,self.cycle,mean(self.residue),avg_traffic,mean(t_avgs)
0,50,5000,0.7249134948096884,6252.294117647059,16.30854373221937
1,50,5000,0.7185697808535179,6252.294117647059,16.612602552859016
2,50,5000,0.6989619377162629,6252.294117647059,16.22479063001599
3,50,5000,0.6695501730103808,6252.294117647059,15.949836950716811
4,50,5000,0.7185697808535179,6252.294117647059,16.747114229549453
5,50,5000,0.6862745098039216,6252.294117647059,16.09689760539365
6,50,5000,0.7416378316032296,6252.294117647059,17.226957947519
7,50,5000,0.6666666666666669,6252.294117647059,15.550471130705048
8,50,5000,0.6164936562860438,6252.294117647059,16.06995647054696
9,50,5000,0.6776239907727799,6252.294117647059,16.79893472020051
10,50,5000,0.720876585928489,6252.294117647059,16.719705813546387
11,50,5000,0.7110726643598617,6252.294117647059,16.157155538394797
12,50,5000,0.6822376009227219,6252.294117647059,15.619068264794134
13,50,5000,0.6597462514417533,6252.294117647059,15.927112059391835
14,50,5000,0.7076124567474049,6252.294117647059,16.58353555533358
15,50,5000,0.7001153402537487,6252.294117647059,16.610874978429212
16,50,5000,0.6787773933102654,6252.294117647059,16.09617734033791
17,50,5000,0.6528258362168398,6252.294117647059,16.437960228688695
18,50,5000,0.6620530565167243,6252.294117647059,15.96654240973767
19,50,5000,0.7151095732410613,6252.294117647059,16.583764921112664
80,100,5000,0.2588235294117646,7578.0,22.878435472266624
81,100,5000,0.24823529411764697,7578.0,24.85366334275528
82,100,5000,0.2458823529411764,7578.0,24.599701141440754
83,100,5000,0.2388235294117647,7578.0,23.228501038461566
84,100,5000,0.27764705882352936,7578.0,25.471941787122123
85,100,5000,0.22705882352941167,7578.0,21.68104860507727
86,100,5000,0.31764705882352945,7578.0,25.545096482750324
87,100,5000,0.2976470588235294,7578.0,25.110806246297813
88,100,5000,0.2611764705882353,7578.0,22.387792602999706
89,100,5000,0.20235294117647057,7578.0,22.48848719286327
90,100,5000,0.2352941176470588,7578.0,24.860503223787852
91,100,5000,0.2976470588235294,7578.0,24.45083407096827
92,100,5000,0.2588235294117646,7578.0,25.890035583323737
93,100,5000,0.23294117647058815,7578.0,24.21999363782869
94,100,5000,0.2458823529411764,7578.0,24.379553507736567
95,100,5000,0.19176470588235286,7578.0,21.374409188638584
96,100,5000,0.24470588235294116,7578.0,22.767214617829033
97,100,5000,0.27764705882352936,7578.0,22.8651494428859
98,100,5000,0.24705882352941175,7578.0,23.777780501334483
99,100,5000,0.2752941176470587,7578.0,24.41044611877996
160,250,5000,0.00294117647058824,9186.176470588236,32.06779005688996
161,250,5000,0.02058823529411765,9186.176470588236,41.53169515762559
162,250,5000,0.00294117647058824,9186.176470588236,34.22911608732213
163,250,5000,0.00882352941176471,9186.176470588236,39.5184101193064
164,250,5000,0.00588235294117647,9186.176470588236,35.775665273203735
165,250,5000,0.01176470588235294,9186.176470588236,34.27051754175342
166,250,5000,0.01470588235294118,9186.176470588236,41.528722064735
167,250,5000,0.00588235294117647,9186.176470588236,32.06585537213887
168,250,5000,0.01176470588235294,9186.176470588236,35.94175924199533
169,250,5000,0.00882352941176471,9186.176470588236,36.31876529805396
170,250,5000,0.02352941176470589,9186.176470588236,34.93179039180441
171,250,5000,0.01470588235294118,9186.176470588236,38.69157059011927
172,250,5000,0.02058823529411765,9186.176470588236,38.25203135398404
173,250,5000,0.01176470588235294,9186.176470588236,32.67378443302023
174,250,5000,0.00882352941176471,9186.176470588236,33.24508647900123
175,250,5000,0.00588235294117647,9186.176470588236,35.505814300344035
176,250,5000,0.01176470588235294,9186.176470588236,40.46366041443039
177,250,5000,0.02352941176470588,9186.176470588236,32.306865954463696
178,250,5000,0.02058823529411765,9186.176470588236,38.153709617933565
179,250,5000,0.01470588235294118,9186.176470588236,33.59377313172713
240,500,5000,0.0,9783.411764705883,45.654784279318676
241,500,5000,0.0,9783.411764705883,43.44292687234739
242,500,5000,0.0,9783.411764705883,38.97746566961207
243,500,5000,0.0,9783.411764705883,42.0780407704285
244,500,5000,0.0,9783.411764705883,43.74814342890262
245,500,5000,0.0,9783.411764705883,57.315509826179685
246,500,5000,0.0,9783.411764705883,46.54149968788653
247,500,5000,0.0,9783.411764705883,41.14881989582998
248,500,5000,0.0,9783.411764705883,38.61989982206388
249,500,5000,0.0,9783.411764705883,35.753819861660325
250,500,5000,0.0,9783.411764705883,45.669165383488725
251,500,5000,0.0,9783.411764705883,45.55588860002587
252,500,5000,0.0,9783.411764705883,42.611069337457636
253,500,5000,0.0,9783.411764705883,43.19132551753518
254,500,5000,0.0,9783.411764705883,49.34577602095686
255,500,5000,0.0,9783.411764705883,43.23760394901714
256,500,5000,0.0,9783.411764705883,39.90374952297392
257,500,5000,0.0,9783.411764705883,37.829633091220835
258,500,5000,0.0,9783.411764705883,56.411100821928144
259,500,5000,0.0,9783.411764705883,47.57617337594087
