int(self),disturbance_cycles,self.cycle,mean(self.residue),avg_traffic,mean(t_avgs)
0,50,5000,0.3431372549019608,16.235294117647058,4.273356401384084
1,50,5000,0.3235294117647059,16.235294117647058,4.976109215017063
2,50,5000,0.3333333333333333,16.235294117647058,4.920689655172412
3,50,5000,0.4117647058823529,16.235294117647058,5.397163120567375
4,50,5000,0.3137254901960784,16.235294117647058,4.2203389830508495
5,50,5000,0.3431372549019608,16.235294117647058,5.164383561643835
6,50,5000,0.39215686274509803,16.235294117647058,5.906354515050167
7,50,5000,0.39215686274509803,16.235294117647058,4.140939597315437
8,50,5000,0.4411764705882353,16.235294117647058,5.410774410774409
9,50,5000,0.4117647058823529,16.235294117647058,5.210344827586207
10,50,5000,0.39215686274509803,16.235294117647058,5.321554770318021
11,50,5000,0.4117647058823529,16.235294117647058,4.686206896551724
12,50,5000,0.30392156862745096,16.235294117647058,4.450980392156864
13,50,5000,0.30392156862745096,16.235294117647058,4.961403508771928
14,50,5000,0.35294117647058826,16.235294117647058,4.8509933774834435
15,50,5000,0.27450980392156865,16.235294117647058,4.21875
16,50,5000,0.4215686274509804,16.235294117647058,5.7864406779661
17,50,5000,0.3235294117647059,16.235294117647058,5.186046511627907
18,50,5000,0.4411764705882353,16.235294117647058,5.099009900990098
19,50,5000,0.3235294117647059,16.235294117647058,5.673913043478261
20,100,5000,0.02,8.647058823529411,5.859154929577467
21,100,5000,0.04,8.647058823529411,6.513888888888887
22,100,5000,0.04,8.647058823529411,6.364238410596029
23,100,5000,0.06,8.647058823529411,7.872611464968155
24,100,5000,0.0,8.647058823529411,6.088888888888889
25,100,5000,0.08,8.647058823529411,7.703225806451612
26,100,5000,0.06,8.647058823529411,6.768115942028985
27,100,5000,0.0,8.647058823529411,7.444444444444444
28,100,5000,0.0,8.647058823529411,5.808510638297874
29,100,5000,0.06,8.647058823529411,6.682432432432434
30,100,5000,0.04,8.647058823529411,6.698630136986299
31,100,5000,0.04,8.647058823529411,6.922580645161291
32,100,5000,0.02,8.647058823529411,5.294964028776978
33,100,5000,0.02,8.647058823529411,5.763157894736844
34,100,5000,0.06,8.647058823529411,6.348684210526316
35,100,5000,0.06,8.647058823529411,5.183673469387755
36,100,5000,0.0,8.647058823529411,5.0
37,100,5000,0.08,8.647058823529411,6.166666666666668
38,100,5000,0.02,8.647058823529411,6.670967741935484
39,100,5000,0.04,8.647058823529411,7.761904761904761
40,250,5000,0.0,3.823529411764706,8.285714285714288
41,250,5000,0.0,3.823529411764706,6.225806451612901
42,250,5000,0.0,3.823529411764706,7.21875
43,250,5000,0.0,3.823529411764706,5.0
44,250,5000,0.0,3.823529411764706,5.676923076923075
45,250,5000,0.0,3.823529411764706,9.515625
46,250,5000,0.0,3.823529411764706,6.627118644067796
47,250,5000,0.0,3.823529411764706,6.890625
48,250,5000,0.0,3.823529411764706,9.943396226415095
49,250,5000,0.0,3.823529411764706,6.77586206896552
50,250,5000,0.0,3.823529411764706,6.166666666666668
51,250,5000,0.0,3.823529411764706,10.086206896551724
52,250,5000,0.0,3.823529411764706,7.6078431372549025
53,250,5000,0.0,3.823529411764706,7.719298245614037
54,250,5000,0.0,3.823529411764706,7.550724637681158
55,250,5000,0.0,3.823529411764706,7.700000000000002
56,250,5000,0.0,3.823529411764706,5.191176470588234
57,250,5000,0.0,3.823529411764706,6.753846153846154
58,250,5000,0.0,3.823529411764706,6.473684210526316
59,250,5000,0.0,3.823529411764706,5.738461538461537
60,500,5000,0.0,1.588235294117647,7.5
61,500,5000,0.0,1.588235294117647,5.333333333333332
62,500,5000,0.0,1.588235294117647,7.299999999999998
63,500,5000,0.0,1.588235294117647,10.96774193548387
64,500,5000,0.0,1.588235294117647,5.64705882352941
65,500,5000,0.0,1.588235294117647,10.800000000000002
66,500,5000,0.0,1.588235294117647,5.75
67,500,5000,0.0,1.588235294117647,7.387096774193551
68,500,5000,0.0,1.588235294117647,3.25
69,500,5000,0.0,1.588235294117647,13.375
70,500,5000,0.0,1.588235294117647,11.038461538461538
71,500,5000,0.0,1.588235294117647,6.9375
72,500,5000,0.0,1.588235294117647,2.1818181818181808
73,500,5000,0.0,1.588235294117647,6.607142857142858
74,500,5000,0.0,1.588235294117647,4.419354838709678
75,500,5000,0.0,1.588235294117647,17.848484848484848
76,500,5000,0.0,1.588235294117647,6.064516129032257
77,500,5000,0.0,1.588235294117647,5.551724137931033
78,500,5000,0.0,1.588235294117647,5.870967741935486
79,500,5000,0.0,1.588235294117647,7.259259259259263
