int(self),disturbance_cycles,self.cycle,mean(self.residue),avg_traffic,mean(t_avgs)
0,50,5000,0.3806228373702423,292.0,5.992818648307161
1,50,5000,0.4117647058823529,292.0,5.012564334024951
2,50,5000,0.38119953863898504,292.0,5.941138133177196
3,50,5000,0.3033448673587082,292.0,4.537662974647761
4,50,5000,0.3431372549019608,292.0,4.3593655892391086
5,50,5000,0.2837370242214533,292.0,4.756806524439087
6,50,5000,0.29411764705882354,292.0,4.596006538208504
7,50,5000,0.30392156862745096,292.0,4.615051048475154
8,50,5000,0.3708189158016148,292.0,5.684392693247511
9,50,5000,0.4013840830449827,292.0,5.047136735488897
10,50,5000,0.30392156862745096,292.0,4.872850070700654
11,50,5000,0.3523644752018454,292.0,5.9342560553633215
12,50,5000,0.3137254901960784,292.0,5.026943532478759
13,50,5000,0.31314878892733566,292.0,5.301609014889145
14,50,5000,0.33217993079584773,292.0,5.018960186886928
15,50,5000,0.4111880046136101,292.0,5.301897777618266
16,50,5000,0.28431372549019607,292.0,4.578086253924412
17,50,5000,0.39215686274509803,292.0,5.441716449069389
18,50,5000,0.4117647058823529,292.0,4.71728770871813
19,50,5000,0.36216839677047286,292.0,5.664712737581003
20,100,5000,0.04,151.0,7.09410061791466
21,100,5000,0.02,151.0,5.774684057772292
22,100,5000,0.0,151.0,6.488540870893812
23,100,5000,0.0,151.0,6.1242260061919485
24,100,5000,0.02,151.0,5.866805332554858
25,100,5000,0.08,151.0,5.611149413966316
26,100,5000,0.06,151.0,6.686962683042042
27,100,5000,0.08,151.0,8.00279510461903
28,100,5000,0.04,151.0,8.053820209534218
29,100,5000,0.02,151.0,6.6050715887528035
30,100,5000,0.08,151.0,5.175936328185465
31,100,5000,0.02,151.0,3.802419597976177
32,100,5000,0.08,151.0,6.894339320809911
33,100,5000,0.03882352941176471,151.0,7.62046188338349
34,100,5000,0.06,151.0,6.99928099582079
35,100,5000,0.0,151.0,7.124720774385701
36,100,5000,0.03882352941176471,151.0,6.347961474586348
37,100,5000,0.04,151.0,7.127451549457076
38,100,5000,0.04,151.0,5.806372549019607
39,100,5000,0.02,151.0,5.451601090767433
40,250,5000,0.0,65.0,7.150838830155716
41,250,5000,0.0,65.0,8.459654089028525
42,250,5000,0.0,65.0,8.278431372549019
43,250,5000,0.0,65.0,6.678649237472769
44,250,5000,0.0,65.0,6.109974424552427
45,250,5000,0.0,65.0,9.198794599807135
46,250,5000,0.0,65.0,8.374759615384615
47,250,5000,0.0,65.0,11.87463549522373
48,250,5000,0.0,65.0,6.207928163333023
49,250,5000,0.0,65.0,8.586306653809064
50,250,5000,0.0,65.0,8.321005485527545
51,250,5000,0.0,65.0,5.145612343297977
52,250,5000,0.0,65.0,10.310784313725488
53,250,5000,0.0,65.0,8.570270942856254
54,250,5000,0.0,65.0,5.72112285774525
55,250,5000,0.0,65.0,6.655462184873952
56,250,5000,0.0,65.0,4.977296181630547
57,250,5000,0.0,65.0,6.842880102860813
58,250,5000,0.0,65.0,8.53639082751745
59,250,5000,0.0,65.0,11.727766106442578
60,500,5000,0.0,28.0,9.332031636183885
61,500,5000,0.0,28.0,8.972070683111955
62,500,5000,0.0,28.0,15.558823529411764
63,500,5000,0.0,28.0,5.850840336134454
64,500,5000,0.0,28.0,6.7361344537815135
65,500,5000,0.0,28.0,7.734207476093888
66,500,5000,0.0,28.0,8.285100136311208
67,500,5000,0.0,28.0,6.566566399286987
68,500,5000,0.0,28.0,7.668113912231559
69,500,5000,0.0,28.0,9.314990512333965
70,500,5000,0.0,28.0,6.742319387648106
71,500,5000,0.0,28.0,2.819327731092437
72,500,5000,0.0,28.0,5.141176470588235
73,500,5000,0.0,28.0,10.199381356820803
74,500,5000,0.0,28.0,7.263395197651251
75,500,5000,0.0,28.0,7.220113851992407
76,500,5000,0.0,28.0,5.782531194295899
77,500,5000,0.0,28.0,7.821928368121443
78,500,5000,0.0,28.0,5.759515570934257
79,500,5000,0.0,28.0,7.72447868036103
