int(self),disturbance_cycles,self.cycle,mean(self.residue),avg_traffic,mean(t_avgs)
0,50,5000,1.0,0.0,20.078435053605777
1,50,5000,1.0,0.0,19.76482705852007
2,50,5000,1.0,0.0,19.72646507721096
3,50,5000,1.0,0.0,20.27970079588882
4,50,5000,1.0,0.0,19.613696811942553
5,50,5000,1.0,0.0,19.702276693342753
6,50,5000,1.0,0.0,20.17215750218053
7,50,5000,1.0,0.0,19.85461122064971
8,50,5000,1.0,0.0,19.88629926236652
9,50,5000,1.0,0.0,19.900527623713785
10,50,5000,1.0,0.0,19.94908786655277
11,50,5000,1.0,0.0,19.73654407800211
12,50,5000,1.0,0.0,19.717097184915115
13,50,5000,1.0,0.0,19.906535916924756
14,50,5000,1.0,0.0,19.688273657812854
15,50,5000,1.0,0.0,19.68594571211664
16,50,5000,1.0,0.0,19.668032122242874
17,50,5000,1.0,0.0,19.90873878846708
18,50,5000,1.0,0.0,20.520672980965184
19,50,5000,1.0,0.0,19.801320677819643
20,100,5000,1.0,0.0,41.42974002114084
21,100,5000,1.0,0.0,41.53664459888759
22,100,5000,1.0,0.0,41.86283071230691
23,100,5000,1.0,0.0,41.75138244171355
24,100,5000,1.0,0.0,40.75747710213388
25,100,5000,1.0,0.0,41.14689610079901
26,100,5000,1.0,0.0,41.381910979871066
27,100,5000,1.0,0.0,40.97412530290496
28,100,5000,1.0,0.0,41.050035505409
29,100,5000,1.0,0.0,41.53709183617858
30,100,5000,1.0,0.0,41.34127186327436
31,100,5000,1.0,0.0,41.645488834807246
32,100,5000,1.0,0.0,41.281485104211875
33,100,5000,1.0,0.0,41.85945106436414
34,100,5000,1.0,0.0,41.21340795828401
35,100,5000,1.0,0.0,42.07077976199367
36,100,5000,1.0,0.0,40.88808562542251
37,100,5000,1.0,0.0,41.27629566038427
38,100,5000,1.0,0.0,40.70867767561283
39,100,5000,1.0,0.0,40.791160751654836
40,250,5000,1.0,0.0,103.5386147766569
41,250,5000,1.0,0.0,105.2840187459215
42,250,5000,1.0,0.0,104.57810479790054
43,250,5000,1.0,0.0,107.88198417705742
44,250,5000,1.0,0.0,106.95477467906193
45,250,5000,1.0,0.0,105.60083523837434
46,250,5000,1.0,0.0,107.95114436715089
47,250,5000,1.0,0.0,105.452921333586
48,250,5000,1.0,0.0,103.67428408653065
49,250,5000,1.0,0.0,106.38353798780145
50,250,5000,1.0,0.0,103.05559088566366
51,250,5000,1.0,0.0,103.67397274761673
52,250,5000,1.0,0.0,106.34094326857912
53,250,5000,1.0,0.0,102.46533387984047
54,250,5000,1.0,0.0,104.1881377075955
55,250,5000,1.0,0.0,100.95638346582268
56,250,5000,1.0,0.0,106.12419687068713
57,250,5000,1.0,0.0,103.7336155711409
58,250,5000,1.0,0.0,104.3439773730706
59,250,5000,1.0,0.0,105.29015004800024
60,500,5000,1.0,0.0,206.0245534495498
61,500,5000,1.0,0.0,209.90784247991715
62,500,5000,1.0,0.0,211.70538479107998
63,500,5000,1.0,0.0,207.52282254051877
64,500,5000,1.0,0.0,208.78250046700592
65,500,5000,1.0,0.0,211.9956896063475
66,500,5000,1.0,0.0,211.30657200426748
67,500,5000,1.0,0.0,209.6503216037533
68,500,5000,1.0,0.0,209.1660489964282
69,500,5000,1.0,0.0,207.44636415771458
70,500,5000,1.0,0.0,213.32970926827025
71,500,5000,1.0,0.0,209.5863404200781
72,500,5000,1.0,0.0,210.26017057979342
73,500,5000,1.0,0.0,208.8053264386829
74,500,5000,1.0,0.0,208.67351101025864
75,500,5000,1.0,0.0,211.85935249111202
76,500,5000,1.0,0.0,208.19495489188873
77,500,5000,1.0,0.0,213.79467723180406
78,500,5000,1.0,0.0,207.45032790101857
79,500,5000,1.0,0.0,209.875830833407
