int(self),disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
60,50,5000,2739,143.19934282584884
61,50,5000,2785,141.62728904847395
62,50,5000,2899,136.2155915833046
63,50,5000,2948,134.2154002713704
64,50,5000,2646,149.63227513227514
65,50,5000,2698,146.13787991104522
66,50,5000,2563,154.2785797893094
67,50,5000,2746,144.5032774945375
68,50,5000,2755,142.61451905626134
69,50,5000,2887,136.44163491513683
70,50,5000,2761,142.6704092720029
71,50,5000,2871,137.31731104144896
72,50,5000,2785,141.521723518851
73,50,5000,2749,144.64969079665332
74,50,5000,2885,136.74419410745233
75,50,5000,2677,146.50056032872618
76,50,5000,2910,134.3216494845361
77,50,5000,2691,147.79078409513193
78,50,5000,2919,134.35149023638232
79,50,5000,2746,143.6504005826657
140,100,5000,6079,63.06349728573779
141,100,5000,5925,65.75527426160338
142,100,5000,6041,63.445290514815426
143,100,5000,5937,65.33788108472292
144,100,5000,6220,61.27845659163987
145,100,5000,5869,65.83080592945987
146,100,5000,6543,59.174232003668045
147,100,5000,6104,63.78587811271297
148,100,5000,6167,63.15501864764067
149,100,5000,6398,60.05611128477649
150,100,5000,5967,64.66029830735712
151,100,5000,5665,68.38958517210945
152,100,5000,6386,61.12981522079549
153,100,5000,5962,65.36430727943643
154,100,5000,6034,63.74809413324495
155,100,5000,6417,59.941873149446785
156,100,5000,6197,62.36598354042278
157,100,5000,5656,68.29756011315418
158,100,5000,6318,61.51361190250079
159,100,5000,6026,64.61832061068702
220,250,5000,10299,35.566462763375085
221,250,5000,10598,34.03227023966786
222,250,5000,10744,33.42237527922561
223,250,5000,10234,35.73734610123119
224,250,5000,10409,34.34864059948122
225,250,5000,10829,33.502631821959554
226,250,5000,10481,34.46684476672073
227,250,5000,10468,34.660011463507836
228,250,5000,10513,34.50708646437744
229,250,5000,10603,34.46816938602282
230,250,5000,10443,34.326821794503495
231,250,5000,10320,35.41531007751938
232,250,5000,10636,33.86912373072584
233,250,5000,10512,34.224695585996955
234,250,5000,10905,33.27556166895919
235,250,5000,10985,33.39590350477924
236,250,5000,10014,36.79139205112842
237,250,5000,10350,34.82415458937198
238,250,5000,10660,34.01416510318949
239,250,5000,10369,35.5532838267914
300,500,5000,12871,27.065496076450938
301,500,5000,12706,27.328191405635135
302,500,5000,12733,27.45299615173172
303,500,5000,12987,26.82782782782783
304,500,5000,12843,27.155960445378806
305,500,5000,12637,27.999525203766716
306,500,5000,12365,28.32195713708047
307,500,5000,12448,28.013737146529564
308,500,5000,12548,27.882849856550845
309,500,5000,12531,27.47705689889075
310,500,5000,12649,27.161514744248556
311,500,5000,12167,28.869976165036576
312,500,5000,13027,26.51792431104629
313,500,5000,12252,28.256937642833822
314,500,5000,12375,28.309252525252525
315,500,5000,12647,27.478374318020084
316,500,5000,12869,27.091693216256118
317,500,5000,12498,27.761961913906227
318,500,5000,12726,27.214285714285715
319,500,5000,12446,28.13530451550699
