int(self),disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
40,50,5000,3727,22.36517306144352
41,50,5000,3660,22.193169398907102
42,50,5000,3393,23.120247568523432
43,50,5000,3709,21.806956052844434
44,50,5000,3318,24.57233273056058
45,50,5000,3754,21.71337240277038
46,50,5000,3642,22.59088412959912
47,50,5000,3923,20.51567677797604
48,50,5000,3817,21.033534189153787
49,50,5000,3774,21.61340752517223
50,50,5000,3673,22.192213449496325
51,50,5000,4078,19.67631191760667
52,50,5000,3747,21.856685348278624
53,50,5000,3975,20.41559748427673
54,50,5000,3686,22.3415626695605
55,50,5000,3584,22.858258928571427
56,50,5000,3618,22.365948037589828
57,50,5000,3837,20.74120406567631
58,50,5000,3455,23.958321273516642
59,50,5000,3685,22.923202170963364
120,100,5000,4995,14.27967967967968
121,100,5000,4694,15.682147422241158
122,100,5000,4781,14.590880568918637
123,100,5000,4673,15.909479991440188
124,100,5000,4599,15.64927158077843
125,100,5000,5080,13.63759842519685
126,100,5000,4899,15.12369871402327
127,100,5000,4615,15.430552546045504
128,100,5000,4964,14.376913779210314
129,100,5000,4964,14.198025785656728
130,100,5000,5090,14.163457760314342
131,100,5000,5172,13.450309358081979
132,100,5000,4987,14.408863043914177
133,100,5000,5094,13.989006674519041
134,100,5000,4858,14.98888431453273
135,100,5000,5024,14.17356687898089
136,100,5000,5038,14.039301310043669
137,100,5000,4891,15.054181149049274
138,100,5000,4939,14.55335088074509
139,100,5000,4888,14.38563829787234
200,250,5000,5753,11.24839214322962
201,250,5000,5705,11.27695004382121
202,250,5000,5737,11.122537911800592
203,250,5000,5585,11.393912264995524
204,250,5000,5570,11.310592459605028
205,250,5000,5851,10.76277559391557
206,250,5000,5874,10.791964589717399
207,250,5000,5785,11.161279170267933
208,250,5000,5553,11.501170538447687
209,250,5000,5703,10.798877783622654
210,250,5000,5582,11.320494446434969
211,250,5000,5711,11.024689196287866
212,250,5000,5779,11.1636961412009
213,250,5000,5513,11.744240885180483
214,250,5000,5727,11.13637157324952
215,250,5000,5721,11.049117287187554
216,250,5000,5511,12.036653964797678
217,250,5000,5898,10.833841980332316
218,250,5000,5983,10.751295336787564
219,250,5000,5937,10.491830891022403
280,500,5000,5842,10.190516946251284
281,500,5000,5955,10.280268681780017
282,500,5000,6122,9.95328324077099
283,500,5000,5970,10.057788944723619
284,500,5000,6029,10.238513849726322
285,500,5000,5878,10.418679823069072
286,500,5000,5920,10.194256756756756
287,500,5000,5739,10.367485624673288
288,500,5000,5871,10.39090444557997
289,500,5000,5857,10.155028171418815
290,500,5000,5945,10.28040370058873
291,500,5000,6020,10.157142857142857
292,500,5000,5866,10.129901125127855
293,500,5000,6153,9.960182025028441
294,500,5000,5900,10.361694915254237
295,500,5000,5934,9.912369396697
296,500,5000,5860,9.951535836177474
297,500,5000,6113,9.88647145427777
298,500,5000,6039,10.00662361318099
299,500,5000,6187,9.94553095199612
