int(self),disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
0,50,5000,3675,22.321360544217686
1,50,5000,3707,21.348260048556785
2,50,5000,3772,21.04082714740191
3,50,5000,4076,19.22154072620216
4,50,5000,3618,22.754560530679935
5,50,5000,3711,21.49420641336567
6,50,5000,3994,20.14271407110666
7,50,5000,3758,20.87120808940926
8,50,5000,4010,19.78428927680798
9,50,5000,3890,20.51439588688946
10,50,5000,3928,20.23548879837067
11,50,5000,3799,20.950776520136877
12,50,5000,3574,22.983212087297147
13,50,5000,3847,21.013257083441644
14,50,5000,3820,21.662303664921467
15,50,5000,3983,21.00602560883756
16,50,5000,3949,20.11901747277792
17,50,5000,3759,21.643256185155625
18,50,5000,4033,19.053062236548474
19,50,5000,3604,22.87069922308546
80,100,5000,5146,13.963272444617179
81,100,5000,5010,14.377445109780439
82,100,5000,4844,14.58815028901734
83,100,5000,4778,14.579740477187107
84,100,5000,4718,15.095167443832132
85,100,5000,4895,14.440653728294178
86,100,5000,4963,14.268587547854121
87,100,5000,4867,14.468461064310663
88,100,5000,4954,14.540169559951554
89,100,5000,5006,14.036955653216141
90,100,5000,5000,13.899
91,100,5000,4888,14.025163666121113
92,100,5000,5108,14.066170712607674
93,100,5000,4806,14.27652933832709
94,100,5000,5041,13.613767109700456
95,100,5000,4944,14.41868932038835
96,100,5000,5294,13.180959576879486
97,100,5000,4972,14.652453740949316
98,100,5000,5313,12.964615095049878
99,100,5000,5011,14.089203751746158
160,250,5000,5892,10.523251866938221
161,250,5000,5799,11.36282117606484
162,250,5000,5602,11.312209925026776
163,250,5000,5757,11.212610734757686
164,250,5000,5699,10.619757852254782
165,250,5000,5848,10.902872777017784
166,250,5000,5811,10.61349165376011
167,250,5000,5842,11.028928449161246
168,250,5000,5494,11.550418638514744
169,250,5000,5816,11.377751031636864
170,250,5000,5442,11.81165012862918
171,250,5000,5585,10.994986571172785
172,250,5000,6052,10.154163912756113
173,250,5000,5648,11.112960339943342
174,250,5000,5730,10.76020942408377
175,250,5000,5499,11.571740316421167
176,250,5000,5756,11.325747046560112
177,250,5000,5661,11.257904963787317
178,250,5000,5826,11.151733607964298
179,250,5000,5415,12.207940904893814
240,500,5000,6008,10.284454061251665
241,500,5000,5990,9.920033388981636
242,500,5000,6103,9.998853023103392
243,500,5000,5911,10.082050414481476
244,500,5000,5845,10.279384088964928
245,500,5000,6256,9.913523017902813
246,500,5000,6002,10.028823725424859
247,500,5000,5912,10.327300405953991
248,500,5000,5963,10.41858125104813
249,500,5000,6108,9.589227242960053
250,500,5000,5752,10.44471488178025
251,500,5000,5900,10.147966101694916
252,500,5000,5953,10.136737779270955
253,500,5000,5977,10.255981261502425
254,500,5000,6141,9.83764859143462
255,500,5000,5771,10.177092358343442
256,500,5000,6253,9.971053894130817
257,500,5000,6000,10.050333333333333
258,500,5000,6109,10.027827795056474
259,500,5000,5971,10.239658348685312
