int(self),disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
0,50,5000,4993,13.019827758862407
1,50,5000,5251,12.062464292515712
2,50,5000,5220,11.98735632183908
3,50,5000,4974,12.40128669079212
4,50,5000,4974,12.651186168073984
5,50,5000,5175,12.019130434782609
6,50,5000,5226,12.085151167240719
7,50,5000,4955,12.884157416750757
8,50,5000,4814,13.522850020772745
9,50,5000,5581,11.132234366600967
10,50,5000,5216,11.901265337423313
11,50,5000,5220,12.12816091954023
12,50,5000,5362,11.360499813502425
13,50,5000,5385,11.947818012999072
14,50,5000,5065,12.664560710760119
15,50,5000,5312,11.615022590361447
16,50,5000,5250,11.639047619047618
17,50,5000,5317,11.695504984013542
18,50,5000,5183,11.933050356936137
19,50,5000,5326,11.819188884716485
20,100,5000,5518,11.354476259514318
21,100,5000,5937,10.260737746336533
22,100,5000,5417,11.284844009599409
23,100,5000,5476,10.767165814463112
24,100,5000,5691,10.562291337199087
25,100,5000,5722,10.472736805312827
26,100,5000,5828,10.254632807137956
27,100,5000,5807,10.354055450318581
28,100,5000,5610,11.029411764705882
29,100,5000,5405,11.307493061979649
30,100,5000,5554,10.655563557796183
31,100,5000,5883,10.446880843107259
32,100,5000,5901,10.07337739366209
33,100,5000,5473,10.878859857482185
34,100,5000,5828,10.488675360329443
35,100,5000,5784,10.256569847856156
36,100,5000,5821,10.546985054114414
37,100,5000,5529,10.809911376379093
38,100,5000,5647,10.675402868779884
39,100,5000,5776,10.495325484764543
40,250,5000,6200,9.538225806451614
41,250,5000,5905,10.127180355630822
42,250,5000,6216,9.592985842985843
43,250,5000,6171,9.550802139037433
44,250,5000,6120,9.584313725490196
45,250,5000,6261,9.39865836128414
46,250,5000,6199,9.421680916276818
47,250,5000,6203,9.554247944542963
48,250,5000,6152,9.53218465539662
49,250,5000,6106,9.54749426793318
50,250,5000,6108,9.698755730189914
51,250,5000,5942,9.920060585661393
52,250,5000,5916,9.906862745098039
53,250,5000,6117,9.471963380742194
54,250,5000,6163,9.556871653415545
55,250,5000,6124,9.574951012410189
56,250,5000,6092,9.660702560735391
57,250,5000,6173,9.543171877531185
58,250,5000,6175,9.498137651821862
59,250,5000,6320,9.418987341772151
60,500,5000,6192,9.435239018087856
61,500,5000,6198,9.434494998386576
62,500,5000,6125,9.48
63,500,5000,6001,9.560239960006665
64,500,5000,6107,9.478631079089569
65,500,5000,6172,9.30346727154893
66,500,5000,6191,9.376514294944274
67,500,5000,6287,9.295530459678702
68,500,5000,6304,9.228426395939087
69,500,5000,6143,9.55819632101579
70,500,5000,6410,9.16801872074883
71,500,5000,6153,9.372663741264423
72,500,5000,6200,9.339354838709678
73,500,5000,6321,9.247745609871856
74,500,5000,6026,9.508297378028542
75,500,5000,6316,9.187618746041798
76,500,5000,6262,9.300542957521559
77,500,5000,6202,9.474363108674622
78,500,5000,6150,9.308943089430894
79,500,5000,6069,9.500576701268743
