int(self),disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
0,50,5000,9757,35.52177923542072
1,50,5000,10208,33.6371473354232
2,50,5000,10131,34.1583259303129
3,50,5000,10246,33.88776107749366
4,50,5000,9947,35.032371569317384
5,50,5000,10135,33.8501233349778
6,50,5000,10129,34.34149471813605
7,50,5000,10060,34.441749502982105
8,50,5000,10048,34.302846337579616
9,50,5000,10302,33.8042127742186
10,50,5000,10096,33.81458003169572
11,50,5000,10198,33.886840556971954
12,50,5000,10175,33.67036855036855
13,50,5000,10126,33.79557574560537
14,50,5000,10372,33.05553413035094
15,50,5000,9987,34.56583558626214
16,50,5000,10082,34.37095814322555
17,50,5000,10421,33.02686882256981
18,50,5000,10035,34.57578475336323
19,50,5000,10103,34.64466000197961
20,100,5000,10520,32.34211026615969
21,100,5000,11189,30.35499150951828
22,100,5000,11109,30.537582140606716
23,100,5000,10718,31.935715618585558
24,100,5000,11182,30.703720264711144
25,100,5000,11221,30.31013278673915
26,100,5000,10841,31.65538234480214
27,100,5000,10634,31.95091216851608
28,100,5000,11223,30.243339570524814
29,100,5000,11179,30.231773861704983
30,100,5000,10807,31.42842602017211
31,100,5000,11141,30.537294677318016
32,100,5000,11259,30.579269917399415
33,100,5000,10982,31.41895829539246
34,100,5000,10987,31.06926367525257
35,100,5000,11198,30.933916770851937
36,100,5000,11230,30.433303650934995
37,100,5000,10840,31.733025830258303
38,100,5000,10967,31.09218564785265
39,100,5000,10893,31.40374552464886
40,250,5000,12010,28.164029975020817
41,250,5000,12528,26.91810344827586
42,250,5000,11533,29.61050897424781
43,250,5000,11886,28.62653541982164
44,250,5000,12566,26.878322457424797
45,250,5000,12546,27.112625538020087
46,250,5000,12573,26.504334685437048
47,250,5000,12474,27.051787718454385
48,250,5000,12051,27.82001493651979
49,250,5000,11903,28.06947828278585
50,250,5000,12787,26.467506060843043
51,250,5000,12389,27.42505448381629
52,250,5000,11680,28.85984589041096
53,250,5000,12019,28.30235460520842
54,250,5000,11584,28.9898135359116
55,250,5000,11718,29.203703703703702
56,250,5000,12130,27.96422093981863
57,250,5000,12674,26.51301877860186
58,250,5000,12411,27.40633309161228
59,250,5000,13178,25.69904386098042
60,500,5000,13336,24.860452909418118
61,500,5000,13909,24.467754691207134
62,500,5000,13527,24.865823907740076
63,500,5000,13940,23.740817790530848
64,500,5000,13217,25.44858893848831
65,500,5000,13328,24.946353541416567
66,500,5000,13285,24.8354535190064
67,500,5000,13094,25.595234458530626
68,500,5000,13586,24.34093920211983
69,500,5000,13672,24.25014628437683
70,500,5000,13184,25.21048240291262
71,500,5000,13172,25.175979350136654
72,500,5000,13285,25.1557395558901
73,500,5000,13517,24.509062661833248
74,500,5000,13752,23.851803374054683
75,500,5000,13945,23.795410541412693
76,500,5000,13036,25.66132249156183
77,500,5000,13264,25.220069360675513
78,500,5000,12976,25.72110049321825
79,500,5000,12886,26.25570386465932
