int(self),disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
0,50,5000,351,278.1937321937322
1,50,5000,340,270.95588235294116
2,50,5000,304,310.85526315789474
3,50,5000,354,265.138418079096
4,50,5000,346,275.014450867052
5,50,5000,330,296.6212121212121
6,50,5000,320,299.3
7,50,5000,340,280.81470588235294
8,50,5000,355,270.02535211267605
9,50,5000,372,260.8037634408602
10,50,5000,290,338.47241379310344
11,50,5000,333,282.85285285285283
12,50,5000,343,268.84256559766766
13,50,5000,335,284.6149253731343
14,50,5000,344,282.21220930232556
15,50,5000,341,278.9208211143695
16,50,5000,401,234.16957605985039
17,50,5000,301,309.19269102990035
18,50,5000,371,261.8733153638814
19,50,5000,371,260.811320754717
20,100,5000,399,236.87468671679198
21,100,5000,371,249.00808625336927
22,100,5000,340,280.5176470588235
23,100,5000,351,266.34757834757835
24,100,5000,365,258.47945205479454
25,100,5000,402,243.4502487562189
26,100,5000,305,319.672131147541
27,100,5000,367,253.2643051771117
28,100,5000,384,246.84635416666666
29,100,5000,357,263.38655462184875
30,100,5000,436,220.0802752293578
31,100,5000,350,271.46285714285716
32,100,5000,406,231.00985221674875
33,100,5000,349,275.7707736389685
34,100,5000,371,257.4177897574124
35,100,5000,287,333.29965156794424
36,100,5000,410,237.2341463414634
37,100,5000,353,269.77903682719545
38,100,5000,481,199.12474012474013
39,100,5000,437,216.51945080091534
40,250,5000,959,100.2148070907195
41,250,5000,591,163.74280879864637
42,250,5000,717,133.74616457461644
43,250,5000,605,158.9702479338843
44,250,5000,582,164.24914089347078
45,250,5000,720,131.13055555555556
46,250,5000,713,129.0827489481066
47,250,5000,712,131.74859550561797
48,250,5000,897,104.39241917502787
49,250,5000,679,132.9941089837997
50,250,5000,686,139.14723032069972
51,250,5000,468,198.11752136752136
52,250,5000,633,149.2211690363349
53,250,5000,452,207.96017699115043
54,250,5000,589,155.65365025466892
55,250,5000,892,102.45067264573991
56,250,5000,597,155.19765494137354
57,250,5000,717,128.70850767085076
58,250,5000,586,164.02559726962457
59,250,5000,838,111.27446300715991
60,500,5000,1568,56.17857142857143
61,500,5000,1729,54.01908617698091
62,500,5000,1488,63.20900537634409
63,500,5000,1153,81.57328707718995
64,500,5000,1553,57.751448808757246
65,500,5000,1577,56.94990488268865
66,500,5000,1655,54.400604229607254
67,500,5000,1575,58.371428571428574
68,500,5000,1710,53.07017543859649
69,500,5000,1533,61.400521852576645
70,500,5000,1834,48.414394765539804
71,500,5000,1478,64.23680649526386
72,500,5000,1635,57.20366972477064
73,500,5000,1448,65.45718232044199
74,500,5000,1612,54.26240694789082
75,500,5000,2120,40.820283018867926
76,500,5000,1415,61.81342756183746
77,500,5000,1135,83.1603524229075
78,500,5000,1941,47.512107161257084
79,500,5000,1459,63.25976696367375
