int(self),disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
0,50,5000,2131,44.51525105584233
1,50,5000,2093,44.273769708552315
2,50,5000,2227,41.722945666816344
3,50,5000,2260,40.92743362831858
4,50,5000,2141,43.685660906118635
5,50,5000,2200,43.07954545454545
6,50,5000,2290,40.35589519650655
7,50,5000,2405,39.37422037422037
8,50,5000,2482,36.738114423851734
9,50,5000,2176,42.505514705882355
10,50,5000,2206,42.31187669990934
11,50,5000,2223,42.46153846153846
12,50,5000,2426,38.9406430338005
13,50,5000,2424,37.71699669966997
14,50,5000,2046,45.71554252199414
15,50,5000,2220,42.82342342342342
16,50,5000,2507,37.11806940566414
17,50,5000,2253,41.89081225033289
18,50,5000,2362,39.15580016934801
19,50,5000,2298,40.81288076588338
20,100,5000,2913,30.953312736010986
21,100,5000,3115,28.637560192616373
22,100,5000,3086,28.36714193130266
23,100,5000,2982,29.953722334004024
24,100,5000,3037,29.576885083964438
25,100,5000,3337,25.821696134252324
26,100,5000,3371,26.45090477603085
27,100,5000,3078,28.791747888239115
28,100,5000,3235,27.069551777434313
29,100,5000,3385,25.77725258493353
30,100,5000,3185,28.026059654631084
31,100,5000,3247,27.019710502001846
32,100,5000,3222,26.87088764742396
33,100,5000,3001,29.490503165611464
34,100,5000,3053,28.88175565018015
35,100,5000,3257,26.751918943813326
36,100,5000,3140,27.907324840764332
37,100,5000,3322,26.335039133052376
38,100,5000,3033,29.159907682162874
39,100,5000,3270,26.36360856269113
40,250,5000,4429,18.056671934974034
41,250,5000,3585,22.886192468619246
42,250,5000,4254,19.218147625763986
43,250,5000,4386,17.81828545371637
44,250,5000,4174,19.016291327264014
45,250,5000,4236,19.18413597733711
46,250,5000,4216,19.02561669829222
47,250,5000,3914,21.754215636177822
48,250,5000,4500,17.108666666666668
49,250,5000,4293,18.28977405078034
50,250,5000,4459,17.426777304328326
51,250,5000,4246,19.229156853509185
52,250,5000,4386,18.022115823073417
53,250,5000,4172,19.57790028763183
54,250,5000,4232,18.840973534971646
55,250,5000,4459,18.248037676609105
56,250,5000,4364,18.94385884509624
57,250,5000,4272,19.022237827715355
58,250,5000,4607,17.068157152159756
59,250,5000,4231,18.62349326400378
60,500,5000,4778,16.286312264545835
61,500,5000,4549,17.566717959991205
62,500,5000,4578,16.371122761031017
63,500,5000,5009,14.56538231183869
64,500,5000,4950,15.24868686868687
65,500,5000,4833,15.133457479826195
66,500,5000,4986,14.752707581227437
67,500,5000,5034,14.094954310687326
68,500,5000,5123,13.566464961936365
69,500,5000,5347,12.30746212829624
70,500,5000,4824,16.009742951907132
71,500,5000,4911,15.125636326613725
72,500,5000,4881,15.214300348289285
73,500,5000,4822,15.693280796350063
74,500,5000,5033,14.765746075899067
75,500,5000,5060,15.273913043478261
76,500,5000,4760,15.956512605042017
77,500,5000,4897,15.14131100673882
78,500,5000,5048,14.746434231378764
79,500,5000,4516,16.91541186891054
