int(self),disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
0,50,5000,401,808.5835411471322
1,50,5000,343,908.6268221574344
2,50,5000,434,743.3986175115207
3,50,5000,374,851.8208556149733
4,50,5000,394,818.3680203045685
5,50,5000,412,803.757281553398
6,50,5000,382,886.782722513089
7,50,5000,378,846.7275132275132
8,50,5000,427,802.1639344262295
9,50,5000,383,846.8302872062663
10,50,5000,390,855.8564102564103
11,50,5000,398,786.3040201005025
12,50,5000,390,831.5076923076923
13,50,5000,390,828.1102564102564
14,50,5000,416,780.5600961538462
15,50,5000,394,816.4086294416244
16,50,5000,382,878.6832460732984
17,50,5000,395,819.4329113924051
18,50,5000,398,814.7386934673367
19,50,5000,412,812.5533980582525
20,100,5000,320,992.5875
21,100,5000,337,938.6112759643917
22,100,5000,333,959.1021021021021
23,100,5000,354,921.54802259887
24,100,5000,332,901.0542168674699
25,100,5000,325,959.0276923076923
26,100,5000,292,1065.4178082191781
27,100,5000,321,947.3333333333334
28,100,5000,332,962.1536144578313
29,100,5000,337,918.0712166172107
30,100,5000,344,931.9593023255813
31,100,5000,349,912.1174785100286
32,100,5000,360,891.0083333333333
33,100,5000,329,944.9726443768997
34,100,5000,321,981.0934579439253
35,100,5000,304,1021.8388157894736
36,100,5000,347,906.1123919308358
37,100,5000,328,958.4329268292682
38,100,5000,353,901.9943342776204
39,100,5000,318,968.1949685534591
40,250,5000,271,1084.2730627306273
41,250,5000,261,1095.3141762452108
42,250,5000,297,1046.2760942760942
43,250,5000,304,972.9934210526316
44,250,5000,265,1109.4943396226415
45,250,5000,253,1209.1146245059288
46,250,5000,251,1135.7011952191235
47,250,5000,285,1025.5859649122808
48,250,5000,289,1049.8166089965398
49,250,5000,266,1074.281954887218
50,250,5000,272,1098.5845588235295
51,250,5000,291,1042.3333333333333
52,250,5000,286,1061.5664335664335
53,250,5000,283,1089.4134275618374
54,250,5000,292,1035.5308219178082
55,250,5000,298,1060.5167785234898
56,250,5000,273,1078.992673992674
57,250,5000,298,1038.9328859060402
58,250,5000,283,1079.469964664311
59,250,5000,280,991.4285714285714
60,500,5000,242,1218.8471074380166
61,500,5000,227,1226.387665198238
62,500,5000,243,1121.0617283950617
63,500,5000,268,1090.5932835820895
64,500,5000,224,1268.2723214285713
65,500,5000,238,1160.5168067226891
66,500,5000,236,1272.7966101694915
67,500,5000,258,1142.1046511627908
68,500,5000,243,1200.3168724279835
69,500,5000,267,1077.187265917603
70,500,5000,243,1271.2304526748972
71,500,5000,289,1050.2906574394465
72,500,5000,236,1181.3771186440679
73,500,5000,253,1072.4782608695652
74,500,5000,237,1144.451476793249
75,500,5000,260,1156.803846153846
76,500,5000,261,1089.6168582375478
77,500,5000,239,1134.2092050209205
78,500,5000,246,1121.2317073170732
79,500,5000,212,1229.9622641509434
