int(self),disturbance_cycles,self.cycle,self.total_delivered,mean_cyc_to_deliver
0,50,5000,276,1085.5615942028985
1,50,5000,265,1164.8943396226416
2,50,5000,289,1054.0588235294117
3,50,5000,261,1082.5095785440612
4,50,5000,218,1264.2201834862385
5,50,5000,260,1142.0423076923078
6,50,5000,249,1196.8995983935743
7,50,5000,267,1164.9700374531835
8,50,5000,275,1063.7127272727273
9,50,5000,229,1213.9563318777293
10,50,5000,276,1102.9492753623188
11,50,5000,265,1129.656603773585
12,50,5000,289,1034.7820069204151
13,50,5000,270,1088.3111111111111
14,50,5000,255,1207.286274509804
15,50,5000,271,1113.929889298893
16,50,5000,254,1109.4881889763778
17,50,5000,260,1078.1153846153845
18,50,5000,270,1073.6888888888889
19,50,5000,261,1115.3371647509578
20,100,5000,207,1312.1256038647343
21,100,5000,243,1068.1604938271605
22,100,5000,204,1381.3431372549019
23,100,5000,230,1244.1521739130435
24,100,5000,248,1226.850806451613
25,100,5000,177,1340.045197740113
26,100,5000,214,1245.2616822429907
27,100,5000,213,1248.8732394366198
28,100,5000,248,1161.850806451613
29,100,5000,212,1193.6415094339623
30,100,5000,230,1243.6478260869565
31,100,5000,250,1167.172
32,100,5000,243,1151.5925925925926
33,100,5000,208,1278.3125
34,100,5000,201,1362.865671641791
35,100,5000,213,1321.7464788732395
36,100,5000,238,1203.7058823529412
37,100,5000,237,1189.818565400844
38,100,5000,222,1185.9504504504505
39,100,5000,208,1340.923076923077
40,250,5000,194,1371.9690721649486
41,250,5000,194,1317.6030927835052
42,250,5000,189,1371.8042328042327
43,250,5000,176,1305.8920454545455
44,250,5000,187,1445.3101604278074
45,250,5000,172,1447.203488372093
46,250,5000,194,1291.3092783505156
47,250,5000,195,1355.6358974358975
48,250,5000,203,1275.4039408866995
49,250,5000,195,1345.451282051282
50,250,5000,169,1574.9704142011835
51,250,5000,152,1535.6776315789473
52,250,5000,170,1417.1352941176472
53,250,5000,177,1426.9604519774011
54,250,5000,179,1419.7709497206704
55,250,5000,179,1339.1005586592178
56,250,5000,183,1402.7267759562842
57,250,5000,182,1418.8021978021977
58,250,5000,179,1333.1173184357542
59,250,5000,185,1343.0648648648648
60,500,5000,151,1392.046357615894
61,500,5000,147,1600.0408163265306
62,500,5000,171,1386.6198830409357
63,500,5000,169,1428.2958579881656
64,500,5000,194,1292.3556701030927
65,500,5000,148,1445.5067567567567
66,500,5000,205,1224.2243902439025
67,500,5000,167,1479.0958083832336
68,500,5000,146,1502.2602739726028
69,500,5000,190,1320.5736842105264
70,500,5000,185,1310.2756756756758
71,500,5000,157,1367.5350318471337
72,500,5000,196,1233.2857142857142
73,500,5000,189,1334.3544973544974
74,500,5000,143,1490.6573426573427
75,500,5000,190,1270.1421052631579
76,500,5000,179,1288.508379888268
77,500,5000,174,1329.8850574712644
78,500,5000,160,1552.0125
79,500,5000,190,1249.5842105263157
